Target	Species	Regime	Model	Feature_Setting	ESM2_Dim	Label_Regime	Split_Version	Runs	Seed_List	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std
human	human	standard	MLP	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8989293904994833	0.0016462408165134055	0.6020229810840495	0.004376673521465391	0.46166790846061784	0.008863893424866086	0.49190030756726627	0.009317957553359058	0.3530202764863876	0.010216918592018032	0.8115068493150683	0.0036346573044990535	0.836609558160505	0.007562454513644124
human	human	standard	N2V_MLP	N2V		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8483614758452017	0.006169052310366886	0.3972384941214502	0.009940025595944015	0.37213961976533183	0.014067747856870545	0.4080426088034351	0.011141121067515927	0.27482921817379735	0.00888864257036352	0.7923287671232876	0.016924323519430698	0.7704238052299368	0.008710133093849748
human	human	standard	NB	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7558844818854453	0.0011440552269798355	0.23581518758150835	0.001261579160969305	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
human	human	standard	SVM	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.902766818599174	8.403556442214021e-06	0.5611396184237301	5.2568447651340376e-05	0.48751392980429625	0.003998508553538788	0.5091926537662974	0.00511244791209839	0.6766850283132919	0.00235027262568442	0.4082191780821918	0.006931019529136154	0.9785993387436129	0.0005171220479135419
scerevisiae	scerevisiae	standard	CC	NETWORK		standard	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.6412455812019131	0.0	0.2626622535656575	0.0	0.1481027783762831	0.0	0.3062200956937799	0.0	0.3076923076923077	0.0	0.3047619047619048	0.0	0.8427947598253275	0.0
scerevisiae	scerevisiae	standard	DC	NETWORK		standard	frozen_protocol_v1_seed20260409_test20_val10	1	nan	0.6887346641713454	0.0	0.3299444618256672	0.0	0.18462087870489	0.0	0.3325183374083129	0.0	0.3417085427135678	0.0	0.3238095238095238	0.0	0.8569868995633187	0.0
scerevisiae	scerevisiae	standard	GAT	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8451954668330213	0.030694543590068724	0.5442937279850476	0.04683725585814889	0.4258671187340838	0.03390961069860822	0.5355801159683795	0.01874175129913792	0.4101601736605841	0.013534232486551234	0.78	0.08746363027747701	0.741703056768559	0.03683814427970896
scerevisiae	scerevisiae	standard	GCN	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.819169265959659	0.023007915593621718	0.5408674368198553	0.03504951817373287	0.37306740161159413	0.03568626728408106	0.4929199491618393	0.027138814230160346	0.352624659534212	0.028526234795854335	0.8238095238095239	0.027602622373694177	0.6493449781659388	0.04878043955085817
scerevisiae	scerevisiae	standard	GIN	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8426159284674568	0.013907907034101575	0.5354880581371958	0.02414747028533936	0.4165296173238426	0.03367985002295049	0.5286567749308478	0.02866764359135658	0.4037360312546071	0.040366640062193	0.781904761904762	0.0768660524723089	0.7270742358078603	0.07407830710544243
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8681461842378873	0.0023129363775901955	0.6372176703023924	0.008419694212031027	0.44557361283870217	0.006528053298371188	0.5538439698417483	0.0052524121684488926	0.4319036582092922	0.008655933386686979	0.7723809523809523	0.015178454714770718	0.7668122270742358	0.011931070822981898
scerevisiae	scerevisiae	standard	MLP	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8126720731960907	0.0023953888331959914	0.5329484025230136	0.007920806388680514	0.3956178413878925	0.014773647247698148	0.5202725079488226	0.010914985563680285	0.4206534439918016	0.011657224756413164	0.681904761904762	0.009233675918888249	0.7844978165938865	0.008640331413715901
scerevisiae	scerevisiae	standard	N2V_MLP	N2V		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8030463713869826	0.015674485908325268	0.4591051605277453	0.012878507255866627	0.37252309700627084	0.027348653919505236	0.4986631604738273	0.018074000187761032	0.3713236075552106	0.012753282825583568	0.759047619047619	0.03167293171107789	0.7054585152838428	0.006229407256631924
scerevisiae	scerevisiae	standard	NB	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.7151757122062798	0.003050823570200025	0.36839328671823834	0.0045547004686485966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
scerevisiae	scerevisiae	standard	SVM	ORT_EXP_SUB		standard	frozen_protocol_v1_seed20260409_test20_val10	5	1029.0,1030.0,1031.0,1032.0,1033.0	0.8031430650862965	8.995807193315501e-05	0.4972507556352378	7.510963006494531e-05	0.35454567152615307	0.002779724372611404	0.41141744701792116	0.0033655164900931157	0.6171373797542021	0.0016456966666645845	0.3085714285714286	0.003563483225498973	0.9561135371179039	0.00043668122270736906
