source_id	source_type	canonical_gene_id	evidence_path	evidence_kind
FGSG_00039	FGSG	fgraminearum::FGRAMPH1_01G00135	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00040	FGSG	fgraminearum::FGRAMPH1_01G00137	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00040	FGSG	fgraminearum::FGRAMPH1_01G00137	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00043	FGSG	fgraminearum::FGRAMPH1_01G00145	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00043	FGSG	fgraminearum::FGRAMPH1_01G00145	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00044	FGSG	fgraminearum::FGRAMPH1_01G00147	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00044	FGSG	fgraminearum::FGRAMPH1_01G00147	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00045	FGSG	fgraminearum::FGRAMPH1_01G00149	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00045	FGSG	fgraminearum::FGRAMPH1_01G00149	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00046	FGSG	fgraminearum::FGRAMPH1_01G00151	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00046	FGSG	fgraminearum::FGRAMPH1_01G00151	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
FGSG_00047	FGSG	fgraminearum::FGRAMPH1_01G00153	data/processed/LC/fgraminearum/subloc_id_mapping.tsv	processed_sublocalization_id_mapping
FGSG_00047	FGSG	fgraminearum::FGRAMPH1_01G00153	/data276/jiehuang/fungi/Fusarium/Evidence/00_idmap/FG_gene_id_unified_map.tsv	unified_map_fgsg_id
