source_layer	source_node	target_layer	target_node	count
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001666	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001673	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001681	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001692	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001697	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001703	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001705	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001713	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001715	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001716	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001723	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001724	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001726	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001727	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001731	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001738	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001739	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001765	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001769	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001771	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001772	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001775	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001778	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001780	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001789	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001790	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001800	1
Layer1_YeastSupportSource	both	Layer2_Orthogroup	OG0001801	1
