layer	node	count
Layer2_Orthogroup	OG0001834	1
Layer2_Orthogroup	OG0001836	1
Layer2_Orthogroup	OG0001841	1
Layer2_Orthogroup	OG0001842	1
Layer2_Orthogroup	OG0001843	1
Layer2_Orthogroup	OG0001846	1
Layer2_Orthogroup	OG0001847	1
Layer2_Orthogroup	OG0001850	1
Layer2_Orthogroup	OG0001851	1
Layer2_Orthogroup	OG0001854	1
Layer2_Orthogroup	OG0001857	1
Layer2_Orthogroup	OG0001860	1
Layer2_Orthogroup	OG0001861	1
Layer2_Orthogroup	OG0001862	1
Layer2_Orthogroup	OG0001863	1
Layer2_Orthogroup	OG0001866	1
Layer2_Orthogroup	OG0001870	1
Layer2_Orthogroup	OG0001871	1
Layer2_Orthogroup	OG0001874	1
Layer2_Orthogroup	OG0001875	1
Layer2_Orthogroup	OG0001877	1
Layer2_Orthogroup	OG0001879	1
Layer2_Orthogroup	OG0001884	1
Layer2_Orthogroup	OG0001885	1
Layer2_Orthogroup	OG0001889	1
Layer2_Orthogroup	OG0001890	1
Layer2_Orthogroup	OG0001891	1
Layer2_Orthogroup	OG0001895	1
Layer2_Orthogroup	OG0001896	1
Layer2_Orthogroup	OG0001897	1
Layer2_Orthogroup	OG0001900	1
Layer2_Orthogroup	OG0001901	1
Layer2_Orthogroup	OG0001902	1
Layer2_Orthogroup	OG0001905	1
Layer2_Orthogroup	OG0001908	1
Layer2_Orthogroup	OG0001909	1
Layer2_Orthogroup	OG0001912	1
Layer2_Orthogroup	OG0001913	1
Layer2_Orthogroup	OG0001915	1
Layer2_Orthogroup	OG0001919	1
Layer2_Orthogroup	OG0001920	1
Layer2_Orthogroup	OG0001921	1
Layer2_Orthogroup	OG0001922	1
Layer2_Orthogroup	OG0001923	1
Layer2_Orthogroup	OG0001925	1
Layer2_Orthogroup	OG0001927	1
Layer2_Orthogroup	OG0001929	1
Layer2_Orthogroup	OG0001932	1
Layer2_Orthogroup	OG0001933	1
Layer2_Orthogroup	OG0001938	1
Layer2_Orthogroup	OG0001939	1
Layer2_Orthogroup	OG0001940	1
Layer2_Orthogroup	OG0001942	1
Layer2_Orthogroup	OG0001943	1
Layer2_Orthogroup	OG0001945	1
Layer2_Orthogroup	OG0001946	1
Layer2_Orthogroup	OG0001948	1
Layer2_Orthogroup	OG0001950	1
Layer2_Orthogroup	OG0001951	1
Layer2_Orthogroup	OG0001952	1
Layer2_Orthogroup	OG0001954	1
Layer2_Orthogroup	OG0001955	1
Layer2_Orthogroup	OG0001957	1
Layer2_Orthogroup	OG0001959	1
Layer2_Orthogroup	OG0001961	1
Layer2_Orthogroup	OG0001965	1
Layer2_Orthogroup	OG0001968	1
Layer2_Orthogroup	OG0001969	1
Layer2_Orthogroup	OG0001971	1
Layer2_Orthogroup	OG0001972	1
Layer2_Orthogroup	OG0001974	1
Layer2_Orthogroup	OG0001975	1
Layer2_Orthogroup	OG0001977	1
Layer2_Orthogroup	OG0001978	1
Layer2_Orthogroup	OG0001979	1
Layer2_Orthogroup	OG0001981	1
Layer2_Orthogroup	OG0001983	1
Layer2_Orthogroup	OG0001986	1
Layer2_Orthogroup	OG0001989	1
Layer2_Orthogroup	OG0001990	1
Layer2_Orthogroup	OG0001993	1
Layer2_Orthogroup	OG0002000	1
Layer2_Orthogroup	OG0002003	1
Layer2_Orthogroup	OG0002007	1
Layer2_Orthogroup	OG0002008	1
Layer2_Orthogroup	OG0002011	1
Layer2_Orthogroup	OG0002013	1
Layer2_Orthogroup	OG0002016	1
Layer2_Orthogroup	OG0002017	1
Layer2_Orthogroup	OG0002018	1
