fusion_method	threshold	metric	mean	sd	n	split_used
Residual gated+WBCE	0.28	precision	0.38095268550539835	0.004667943209183336	5	test
Residual gated+WBCE	0.29	precision	0.3825723985565045	0.005328583923881833	5	test
Residual gated+WBCE	0.3	precision	0.38639260072919923	0.005718240974004033	5	test
Residual gated+WBCE	0.31	precision	0.38846961003421543	0.003583601704211482	5	test
Residual gated+WBCE	0.32	precision	0.39246168888322497	0.003808229721836308	5	test
Residual gated+WBCE	0.33	precision	0.3961977423860367	0.005063535515826999	5	test
Residual gated+WBCE	0.34	precision	0.3969345276148315	0.005532097569354217	5	test
Residual gated+WBCE	0.35	precision	0.3985307027150914	0.0058016260980201136	5	test
Residual gated+WBCE	0.36	precision	0.4023379433463038	0.00600416986596656	5	test
Residual gated+WBCE	0.37	precision	0.4042419272281352	0.0031101396943369578	5	test
Residual gated+WBCE	0.38	precision	0.40690689179989253	0.0045341678375322835	5	test
Residual gated+WBCE	0.39	precision	0.4093235681809322	0.005454397859940654	5	test
Residual gated+WBCE	0.4	precision	0.4132360476097013	0.005831840737808564	5	test
Residual gated+WBCE	0.41	precision	0.4173125579318384	0.005224099721932824	5	test
Residual gated+WBCE	0.42	precision	0.4186870161072204	0.005572316456688073	5	test
Residual gated+WBCE	0.43	precision	0.4233408370041075	0.004918355565089068	5	test
Residual gated+WBCE	0.44	precision	0.42599922336239776	0.005078302898550929	5	test
Residual gated+WBCE	0.45	precision	0.4298202280321514	0.00480600516315183	5	test
Residual gated+WBCE	0.46	precision	0.4323042141916287	0.005064037645963488	5	test
Residual gated+WBCE	0.47	precision	0.4360933086694643	0.006546122059288805	5	test
Residual gated+WBCE	0.48	precision	0.439608433757269	0.004373712341312712	5	test
Residual gated+WBCE	0.49	precision	0.4438438438438439	0.0045974384259734186	5	test
Residual gated+WBCE	0.5	precision	0.447855614845509	0.007765634984704819	5	test
Residual gated+WBCE	0.51	precision	0.4482252885657899	0.007572480697661466	5	test
Residual gated+WBCE	0.52	precision	0.448278708677178	0.004645059642776064	5	test
Residual gated+WBCE	0.53	precision	0.45018262798074404	0.00914149508799294	5	test
Residual gated+WBCE	0.54	precision	0.4534756143126475	0.010327738858496884	5	test
Residual gated+WBCE	0.55	precision	0.4555159579647924	0.009240227325667039	5	test
Residual gated+WBCE	0.56	precision	0.45936360611661264	0.005457196118819655	5	test
Residual gated+WBCE	0.57	precision	0.4654928850096211	0.006643710931936446	5	test
Residual gated+WBCE	0.58	precision	0.4677499544543073	0.004499272792197096	5	test
Residual gated+WBCE	0.59	precision	0.4719847211389256	0.007114758312509529	5	test
Residual gated+WBCE	0.6	precision	0.4751955147373782	0.011031701542526794	5	test
Residual gated+WBCE	0.61	precision	0.4819349822938085	0.0081822300457103	5	test
Residual gated+WBCE	0.62	precision	0.48478934350615405	0.011426782866633782	5	test
Residual gated+WBCE	0.63	precision	0.4929711664767886	0.011519133328107944	5	test
Residual gated+WBCE	0.64	precision	0.4973972519708608	0.011876454315927203	5	test
Residual gated+WBCE	0.65	precision	0.5009619357779876	0.016338273461261286	5	test
Residual gated+WBCE	0.66	precision	0.5079721046407653	0.007306617145340147	5	test
Residual gated+WBCE	0.67	precision	0.5156300993211375	0.011124641027219093	5	test
Residual gated+WBCE	0.68	precision	0.5142146198580955	0.013837954017184606	5	test
Residual gated+WBCE	0.69	precision	0.5265093253234976	0.018764730789748503	5	test
Residual gated+WBCE	0.7	precision	0.5337850658451613	0.019008178432119507	5	test
Residual gated+WBCE	0.71	precision	0.5521149765018768	0.019206745790024068	5	test
Residual gated+WBCE	0.72	precision	0.5642456566706988	0.02399171708890426	5	test
Residual gated+WBCE	0.73	precision	0.5837312598907929	0.026953940521607725	5	test
Residual gated+WBCE	0.74	precision	0.5930786467776914	0.015061019197403432	5	test
Residual gated+WBCE	0.75	precision	0.6131196446351691	0.010712965428234378	5	test
Residual gated+WBCE	0.76	precision	0.6278937215313966	0.013506747518737476	5	test
Residual gated+WBCE	0.77	precision	0.6384825896861954	0.02107525280296937	5	test
Residual gated+WBCE	0.78	precision	0.6656298626559696	0.031357975115880975	5	test
Residual gated+WBCE	0.79	precision	0.6800550031257551	0.017000723948911476	5	test
Residual gated+WBCE	0.8	precision	0.7048389179865799	0.017856240840205453	5	test
Residual gated+WBCE	0.81	precision	0.7155869194743876	0.012206449601974501	5	test
Residual gated+WBCE	0.82	precision	0.729115471605844	0.014649598550509676	5	test
Residual gated+WBCE	0.83	precision	0.7443044300187157	0.021783889652180706	5	test
Residual gated+WBCE	0.84	precision	0.7525516064597934	0.024509956443598963	5	test
Residual gated+WBCE	0.85	precision	0.766845857960409	0.019656801735239746	5	test
Residual gated+WBCE	0.86	precision	0.7675701754385965	0.024560845490891835	5	test
Residual gated+WBCE	0.87	precision	0.7647031955235257	0.016746517215599	5	test
Residual gated+WBCE	0.88	precision	0.7381007164878133	0.04598843230153293	5	test
Residual gated+WBCE	0.89	precision	0.7060438209525431	0.07051331504279874	5	test
Residual gated+WBCE	0.9	precision	0.677519789812696	0.19601123960927147	5	test
Residual gated+WBCE	0.91	precision	0.7162698412698412	0.21744981726474422	5	test
Residual gated+WBCE	0.92	precision	0.6571428571428573	0.37968539309858407	5	test
Residual gated+WBCE	0.93	precision	0.6561038961038961	0.3738257039590271	5	test
Residual gated+WBCE	0.94	precision	0.3466666666666667	0.37756529972384323	5	test
Residual gated+WBCE	0.95	precision	0.4	0.5477225575051662	5	test
Residual gated+WBCE	0.96	precision	0.0	0.0	5	test
Residual gated+WBCE	0.97	precision	0.0	0.0	5	test
Residual gated+WBCE	0.98	precision	0.0	0.0	5	test
Residual gated+WBCE	0.99	precision	0.0	0.0	5	test
Residual gated+WBCE	1.0	precision	0.0	0.0	5	test
Concat	0.0	recall	1.0	0.0	5	test
Concat	0.01	recall	0.9251141552511415	0.031237682879428446	5	test
Concat	0.02	recall	0.908675799086758	0.03244901918619153	5	test
Concat	0.03	recall	0.9031963470319633	0.031036795375281142	5	test
Concat	0.04	recall	0.9004566210045661	0.034534557810390935	5	test
Concat	0.05	recall	0.8922374429223744	0.04290779894368403	5	test
Concat	0.06	recall	0.8894977168949773	0.0464991766871268	5	test
Concat	0.07	recall	0.8821917808219177	0.05016600535880282	5	test
Concat	0.08	recall	0.8794520547945204	0.0491371727938433	5	test
Concat	0.09	recall	0.8694063926940638	0.05560661526345532	5	test
Concat	0.1	recall	0.8639269406392692	0.05642549838020758	5	test
Concat	0.11	recall	0.8611872146118721	0.0553246802953825	5	test
Concat	0.12	recall	0.8602739726027396	0.0553246802953825	5	test
Concat	0.13	recall	0.8584474885844748	0.05488956748936671	5	test
Concat	0.14	recall	0.8511415525114157	0.05281824197596803	5	test
Concat	0.15	recall	0.8474885844748858	0.05369909607476542	5	test
Concat	0.16	recall	0.8429223744292237	0.05763201087113048	5	test
Concat	0.17	recall	0.8383561643835616	0.056995374526502	5	test
Concat	0.18	recall	0.8365296803652967	0.05886693103007607	5	test
Concat	0.19	recall	0.8337899543378995	0.05560661526345534	5	test
Concat	0.2	recall	0.828310502283105	0.05745083465772276	5	test
Concat	0.21	recall	0.8246575342465754	0.05560661526345533	5	test
Concat	0.22	recall	0.8210045662100456	0.05338756859566767	5	test
Concat	0.23	recall	0.8146118721461187	0.05560661526345532	5	test
