raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
6239.2L52.1a.1	6239.C29F7.5.1		WBGene00001436	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.R74.8a.2		WBGene00011282	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.F40G9.3.1		WBGene00006715	False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.C30C11.4.2			False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.Y38E10A.22a.1		WBGene00012600	False	unmapped_A	190	58	176	0
6239.2L52.1a.1	6239.F28H7.2.1		WBGene00009236	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.F56H9.6.1		WBGene00044198	False	unmapped_A	175	0	175	0
6239.2L52.1a.1	6239.B0393.1.2			False	unmapped_A	206	60	190	0
6239.2L52.1a.1	6239.F40F4.5.1		WBGene00006535	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.T04H1.9.1		WBGene00006539	False	unmapped_A	163	0	163	0
6239.2L52.1a.1	6239.T05H4.3.1			False	unmapped_A	152	44	150	0
6239.2L52.1a.1	6239.F56H6.11.1		WBGene00010171	False	unmapped_A	164	81	129	0
6239.2L52.1a.1	6239.K11B4.1.1		WBGene00010766	False	unmapped_A	219	0	219	0
6239.2L52.1a.1	6239.F40A3.3c.1		WBGene00018218	False	unmapped_A	184	55	172	0
6239.2L52.1a.1	6239.C35E7.5a.2		WBGene00016457	False	unmapped_A	183	101	129	0
6239.2L52.1a.1	6239.C29E4.3a.1		WBGene00004303	False	unmapped_A	186	0	186	0
6239.2L52.1a.1	6239.Y55F3AM.11.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.C06E4.6.1			False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.T04D1.4.1			False	unmapped_A	214	86	162	0
6239.2L52.1a.1	6239.K08A8.2a.2			False	unmapped_A	158	0	148	0
6239.2L52.1a.1	6239.F14D2.12.1		WBGene00017460	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.B0261.4a.1			False	unmapped_A	191	0	191	0
6239.2L52.1a.1	6239.F13E6.2.1			False	unmapped_A	155	0	156	0
6239.2L52.1a.1	6239.K04G11.4.1		WBGene00010572	False	unmapped_A	153	49	146	0
6239.2L52.1a.1	6239.Y43F8B.4b.1			False	unmapped_A	159	0	160	0
6239.2L52.1a.1	6239.F59E11.2.1		WBGene00019109	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.Y67D8C.5h.1			False	unmapped_A	175	0	175	0
6239.2L52.1a.1	6239.F17E5.1a.1		WBGene00002991	False	unmapped_A	186	0	186	0
6239.2L52.1a.1	6239.C29F7.6a.1		WBGene00007813	False	unmapped_A	169	0	168	0
6239.2L52.1a.1	6239.C16A3.5.2			False	unmapped_A	171	0	75	141
6239.2L52.1a.1	6239.T21B10.2c.2			False	unmapped_A	195	0	179	0
6239.2L52.1a.1	6239.F35G2.4.1		WBGene00004025	False	unmapped_A	159	0	160	0
6239.2L52.1a.1	6239.M88.2.1			False	unmapped_A	230	0	180	100
6239.2L52.1a.1	6239.F08G2.1.1		WBGene00001918	False	unmapped_A	151	0	152	0
6239.2L52.1a.1	6239.R06C1.1.1		WBGene00001836	False	unmapped_A	158	0	150	0
6239.2L52.1a.1	6239.T04D1.2.1		WBGene00020212	False	unmapped_A	171	171	0	0
6239.2L52.1a.1	6239.Y92H12BR.8.1		WBGene00022373	False	unmapped_A	175	0	176	0
6239.2L52.1a.1	6239.F02C12.2.1		WBGene00008516	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.Y113G7B.18b.1		WBGene00007017	False	unmapped_A	159	0	160	0
6239.2L52.1a.1	6239.Y51H1A.3b.1		WBGene00013094	False	unmapped_A	170	0	74	141
6239.2L52.1a.1	6239.B0303.15.1			False	unmapped_A	177	0	177	0
6239.2L52.1a.1	6239.K12H6.11.1		WBGene00019690	False	unmapped_A	157	73	129	0
6239.2L52.1a.1	6239.F32A5.1a.1			False	unmapped_A	175	0	174	0
6239.2L52.1a.1	6239.T05C12.3.1		WBGene00011467	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.F26B1.3.1		WBGene00002073	False	unmapped_A	173	0	172	0
6239.2L52.1a.1	6239.F44E5.4.1		WBGene00009691	False	unmapped_A	167	0	168	0
6239.2L52.1a.1	6239.C29F7.3.1		WBGene00007812	False	unmapped_A	155	0	156	0
6239.2L52.1a.1	6239.F21C10.6.1			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.W06D4.6.1			False	unmapped_A	187	70	162	0
6239.2L52.1a.1	6239.M04C3.1c.1		WBGene00010850	False	unmapped_A	180	57	167	0
6239.2L52.1a.1	6239.Y43F8B.14.1		WBGene00012824	False	unmapped_A	180	57	167	0
6239.2L52.1a.1	6239.B0250.1.1			False	unmapped_A	190	60	161	0
6239.2L52.1a.1	6239.C17E4.1a.1		WBGene00007641	False	unmapped_A	173	0	173	0
6239.2L52.1a.1	6239.C12D12.5b.1		WBGene00015716	False	unmapped_A	158	0	148	0
6239.2L52.1a.1	6239.F53C11.3.1		WBGene00009973	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.ZK593.4a.1			False	unmapped_A	169	0	168	0
6239.2L52.1a.1	6239.Y92H12BM.1.2			False	unmapped_A	175	175	0	0
6239.2L52.1a.1	6239.Y48G8AL.7.1			False	unmapped_A	173	0	173	0
6239.2L52.1a.1	6239.F53F4.6a.1		WBGene00004328	False	unmapped_A	153	50	146	0
6239.2L52.1a.1	6239.K07A12.7.1		WBGene00010624	False	unmapped_A	236	62	219	0
6239.2L52.1a.1	6239.K03C7.2a.1		WBGene00001441	False	unmapped_A	156	0	157	0
6239.2L52.1a.1	6239.C50C3.8.1		WBGene00016803	False	unmapped_A	261	183	133	0
6239.2L52.1a.1	6239.Y34D9A.1.1			False	unmapped_A	200	74	172	0
6239.2L52.1a.1	6239.C01G12.5.1		WBGene00007245	False	unmapped_A	153	0	154	0
6239.2L52.1a.1	6239.C25F9.9.1		WBGene00007728	False	unmapped_A	180	57	167	0
6239.2L52.1a.1	6239.C07D10.2b.2		WBGene00015567	False	unmapped_A	261	183	133	0
6239.2L52.1a.1	6239.F52C6.3.1			False	unmapped_A	150	0	151	0
6239.2L52.1a.1	6239.T24A6.19.1		WBGene00020755	False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.F52C6.12.1			False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.C16C8.13.1			False	unmapped_A	150	0	151	0
6239.2L52.1a.1	6239.F37A4.9.1		WBGene00018137	False	unmapped_A	261	183	133	0
6239.2L52.1a.1	6239.ZK154.5.2		WBGene00022667	False	unmapped_A	151	69	126	0
6239.2L52.1a.1	6239.ZK20.3.2		WBGene00013924	False	unmapped_A	168	0	146	0
6239.2L52.1a.1	6239.T07C4.1.2			False	unmapped_A	150	0	0	141
6239.2L52.1a.1	6239.C06E2.3.1		WBGene00006716	False	unmapped_A	161	0	161	0
6239.2L52.1a.1	6239.K09F5.5.1		WBGene00019584	False	unmapped_A	160	62	129	0
6239.2L52.1a.1	6239.ZK154.3.1			False	unmapped_A	166	45	163	0
6239.2L52.1a.1	6239.F54A5.2a.1		WBGene00018787	False	unmapped_A	162	60	146	0
6239.2L52.1a.1	6239.Y48B6A.11.1		WBGene00012982	False	unmapped_A	179	0	162	0
6239.2L52.1a.1	6239.D2030.9a.2			False	unmapped_A	150	46	146	0
6239.2L52.1a.1	6239.Y73B6BL.37.1		WBGene00022256	False	unmapped_A	153	0	154	0
