raw_probe_id	mapped_gene_id	mapping_status	mapping_method	keep_record	source_file	platform_gpl
3761_f_at	S000007393	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3762_s_at	S000000524	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3763_s_at	S000000524	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3764_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3765_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3766_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3767_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3768_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3769_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3770_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3771_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3772_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3773_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3774_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3775_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3776_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3777_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3778_f_at	S000006022	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3779_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3780_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3781_f_at	S000000524	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3782_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3783_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3784_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3785_f_at	S000006022	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3786_s_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3787_f_at	S000000524	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3788_f_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3789_s_at	S000005283	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3790_s_at	S000005283	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3791_s_at	S000005283	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3792_s_at	S000005283	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3793_f_at	S000000944	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3794_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3795_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3796_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3797_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3798_s_at	S000000067	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3799_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3800_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3801_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3802_f_at	S000007347	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3803_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3804_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3805_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3806_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3807_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3808_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3809_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3810_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3811_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3812_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3813_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3814_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3815_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3816_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3817_f_at	S000007347	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3818_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3819_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3820_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3821_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3822_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3823_f_at	S000000524	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3824_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3825_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3826_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3827_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3828_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3829_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3830_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3831_s_at	S000001814	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3832_s_at	S000001814	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3833_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3834_s_at	S000005283	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3835_s_at	S000000962	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3836_f_at	S000000940	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3837_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3838_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3839_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3840_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3841_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3842_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3843_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3844_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3845_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3846_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3847_i_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3848_f_at	S000000068	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3849_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3850_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3851_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3852_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3853_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3854_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3855_s_at	S000028593	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3856_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3857_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3858_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3859_i_at	S000004374	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3860_f_at	S000004374	mapped	alias_bridge	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3861_f_at	S000000524	mapped	mapped_direct	True	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3862_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3863_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3864_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3865_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3866_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3867_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3868_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3869_f_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3870_s_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3871_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
3872_i_at		unmapped	none	False	scerevisiae_GSE3431_series_matrix.txt.gz	GPL90
