Gene,GSM77298,GSM77299,GSM77300,GSM77301,GSM77302,GSM77303,GSM77304,GSM77305,GSM77306,GSM77307,GSM77308,GSM77309,GSM77310,GSM77311,GSM77312,GSM77313,GSM77314,GSM77315,GSM77316,GSM77317,GSM77318,GSM77319,GSM77320,GSM77321,GSM77322,GSM77323,GSM77324,GSM77325,GSM77326,GSM77327,GSM77328,GSM77329,GSM77330,GSM77331,GSM77332,GSM77333
S000001574,7.163450241,15.11676216,8.729852676,9.433071136,7.598204613,6.671024323,6.206933975,4.378265381,1.014527917,3.557174921,3.162100554,2.477157354,7.580941677,13.80795479,4.953724384,10.03653049,11.42697906,5.135714054,4.750252247,1.320734382,2.562285662,3.041194439,1.237124443,2.563058615,7.260073185,13.26508904,9.708145142,5.75253582,6.0103302,5.053571701,3.468715906,0.960444927,4.414286137,1.775590539,1.730030298,2.690871239
S000005638,1.713961363,1.595375657,1.597048759,1.525309443,1.570145965,1.410675406,1.434452772,1.247648954,2.029055834,1.867713213,2.167808294,1.522842646,1.951779723,1.442045569,1.567719936,1.404109597,1.439242005,1.168367267,1.106167793,1.530237556,2.099428415,2.070030928,1.973175883,1.983118176,1.087912083,1.560946703,1.513574719,0.925963581,1.07851243,1.015756249,1.484083414,1.531520367,2.243956089,1.813976407,1.384226322,1.5311203
S000002924,11.50170231,8.667052269,4.780930996,4.97075367,4.717171669,4.347494602,4.057421207,3.536050081,1.064164639,8.752243042,8.146118164,5.455837727,10.61882973,8.021591187,5.31151247,5.896118641,5.778149128,4.055101871,3.65621829,1.77537787,6.532571316,8.173017502,6.210300446,6.963257313,15.72527504,9.237869263,6.454751015,4.544624805,4.095041275,3.810924292,4.288693905,1.352286696,8.875824928,6.366141796,5.35591507,7.420124054
S000001643,11.09648132,9.295952797,8.367764473,9.323960304,9.437710762,8.088234901,9.414950371,8.126437187,7.611380577,6.371076584,5.457762718,10.39289284,10.61538506,11.20795441,9.365688324,8.285387993,5.674470425,8.172449112,7.419615269,8.318573952,7.993143082,7.945416927,8.758583069,7.661370754,12.13430977,8.640236855,9.927601814,8.36714077,8.997933388,9.961134911,8.233809471,9.331273079,6.756043911,7.680118084,9.247724533,9.601658821
S000005879,1.592508554,2.013872862,1.997729897,2.221597433,1.741863132,1.969498992,1.567713857,1.565308332,1.113801479,1.837443948,1.930365443,1.446700454,2.194030046,2.343181849,2.44018054,2.232876778,1.788182735,2.070408106,1.624873519,0.834773242,1.30400002,1.583934069,1.659871221,1.165839195,1.518925548,1.597633123,2.359728575,1.86206913,1.582644582,1.693277359,1.62458837,0.71446228,2.061538696,1.590551257,1.630940318,1.588174224
S000001370,3.374574184,4.078612328,2.706015825,2.59842515,3.501683712,2.81590414,2.087757111,1.834900856,2.273607731,3.071748972,3.378995419,2.610152245,3.137772799,4.294318199,3.146726608,3.004566431,2.935339928,2.175510168,2.521739006,1.993520617,3.905143023,2.430484056,2.581545115,2.867924452,3.998779058,3.86272192,2.880090714,2.625760794,2.989669323,2.662815094,3.176728964,2.766378164,3.230769396,2.98720479,2.221435547,2.024896145
S000001424,3.8391979289999996,4.295953720666667,1.5898600346666665,1.139107665,1.7029554893333334,1.2022512556666667,0.8490429353333333,0.507488713,0.4200968623333334,2.7937220259999997,3.4840183343333337,2.658206491,3.3528513526666663,3.323106092333333,1.7306245096666668,1.4170471883333333,1.6417688966666664,1.0608842856666667,0.6916076433333332,0.3747300273333334,1.6979047429999998,2.4603501273333332,3.2303291143333333,2.5183714466666665,4.018722236333333,3.1996055460000004,0.7816742063333333,1.6342123806666666,1.3522727426666667,0.9982493246666667,0.8679107586666666,0.25793158866666666,3.201831609333334,2.9406168066666667,2.8641723683333336,2.957468659
S000006321,0.37495270122222224,0.41913935122222223,0.5333585553333333,0.44281965311111116,0.3828407658888889,0.356088109,0.3542795054444444,0.3664228534444444,0.2580037782222222,0.23305930988888887,0.2817097947777778,0.26441059466666667,0.40796023477777776,0.3223484981111111,0.4408076281111111,0.4077879281111111,0.3831289516666667,0.35102039277777775,0.3641163797777778,0.3054955624444444,0.4237460241111111,0.304268216,0.3274916578888889,0.390819821,0.3787817168888889,0.4291913207777778,0.38926597277777775,0.31586659044444443,0.2917814442222222,0.3063725643333333,0.3516282585555556,0.27358878022222227,0.3283272338888889,0.3030402432222222,0.305358931,0.30255876311111113
S000003316,2.213393927,1.306358337,0.607264459,0.408323973,0.401795745,0.294117659,0.323943645,0.403343767,0.49878937,1.756726503,2.506849527,1.816243529,1.258323789,1.111363649,0.537246048,0.361872166,0.437012285,0.382653058,0.584428668,0.367170632,0.582857132,1.571575761,1.814377785,1.616683245,1.374847412,1.369230747,0.399321258,0.756592333,0.454545438,0.226890773,0.520307362,0.39307785,0.783516526,1.721456647,1.76744175,1.799792409
S000004082,6.138478756,0.938728273,3.194097519,3.188976526,3.050505161,2.501089334,3.109425545,4.698014736,6.820823669,6.294843197,8.587899208,7.911674976,5.159586906,0.994318187,2.610609531,2.880136967,3.414715528,2.592857122,3.5318501,7.355291367,19.74514198,8.531411171,8.240343094,10.06752777,3.317460537,1.181065083,2.606334925,2.46146059,2.755165339,2.582983255,3.380900145,13.1545105,7.568132401,8.831692696,7.879675865,6.358920574
S000000880,1.0,0.883237004,0.459704876,0.397075355,0.319865346,0.407407433,0.507042229,0.306165099,0.426150143,0.607623339,0.539954364,0.745177686,0.805970132,0.57613641,0.465011299,0.412100434,0.2664437,0.409183651,0.280080885,0.263498902,0.454857141,0.685890794,0.755364835,0.735849082,0.739926755,0.742011845,0.418552041,0.545638978,0.438016534,0.337184876,0.251372129,0.360939413,0.671428561,0.669291317,0.464105159,0.84336096
S000006433,10.96367836,11.4080925,8.103292465,5.861642361,5.210999012,4.857298374,4.358613014,4.358411789,4.952784538,12.04596519,12.345891,14.58984756,14.50401974,9.222726822,6.294582367,4.972602844,3.806020021,4.622448921,3.856420279,4.591792583,4.26057148,11.71575642,12.27896976,11.50446892,12.74114799,4.982248783,5.299773693,4.60040617,4.192148685,4.519958019,4.663007736,5.571075439,9.6736269,11.60334682,14.18301201,14.21784115
S000002758,1.263337135,1.309826612,1.179341674,1.16647923,1.297418714,1.251634002,1.172264218,1.333333373,0.865617454,1.029148102,1.235159755,0.90558368,1.276693463,1.213636398,1.242663622,1.393835664,1.635451436,1.192857146,1.190090895,1.137149096,1.042285681,0.988671422,0.961373389,0.959285021,1.632478595,1.508875728,1.457013607,1.21298182,1.228305817,1.073529363,1.377607107,1.039554954,1.046153784,0.877952695,0.981799722,1.034232259
S000001508,5.149829865,4.552600861,6.49489212,4.845894337,3.308641911,5.032679558,5.594799519,5.287356377,3.694915533,4.539237976,5.243150711,3.277157068,5.219288349,3.663636446,3.007900715,3.602739811,7.520624161,3.179591894,5.034378052,3.446004391,3.962285757,4.521111965,3.195278883,3.426018,6.295482159,6.396449566,6.507918358,2.976673603,4.520661354,4.696428776,6.027442455,2.110012293,3.490110159,3.136811018,3.379170895,4.591286182
