raw_probe_id	mapped_gene_id	mapping_status	mapping_method
10348_at	S000003996	mapped	alias_bridge
10349_at	S000003997	mapped	alias_bridge
10350_at	S000003998	mapped	alias_bridge
10351_at	S000003958	mapped	alias_bridge
10352_at	S000003957	mapped	alias_bridge
10353_at	S000003956	mapped	alias_bridge
10354_at	S000003955	mapped	alias_bridge
10355_at	S000003954	mapped	alias_bridge
10356_at		unmapped	none
10357_at	S000003952	mapped	alias_bridge
10358_at	S000003951	mapped	alias_bridge
10359_at	S000003950	mapped	alias_bridge
10360_at	S000003949	mapped	alias_bridge
10361_f_at	S000003948	mapped	alias_bridge
10362_at	S000003947	mapped	alias_bridge
10363_at	S000003946	mapped	alias_bridge
10364_at		unmapped	none
10365_at	S000003944	mapped	alias_bridge
10366_i_at	S000003942	mapped	alias_bridge
10367_r_at	S000003942	mapped	alias_bridge
10368_s_at	S000003942	mapped	alias_bridge
10369_at	S000003942	mapped	alias_bridge
10370_at	S000003941	mapped	alias_bridge
10371_at		unmapped	none
10372_at		unmapped	none
10373_at	S000003980	mapped	alias_bridge
10374_at	S000003979	mapped	alias_bridge
10375_at	S000003978	mapped	alias_bridge
10376_at	S000003977	mapped	alias_bridge
10377_at	S000003976	mapped	alias_bridge
10378_at	S000003975	mapped	alias_bridge
10379_at	S000003974	mapped	alias_bridge
10380_at	S000003973	mapped	alias_bridge
10381_at	S000003972	mapped	alias_bridge
10382_at	S000003971	mapped	alias_bridge
10383_at		unmapped	none
10384_at	S000003969	mapped	alias_bridge
10385_i_at	S000003968	mapped	alias_bridge
10386_s_at	S000003968	mapped	alias_bridge
10387_at		unmapped	none
10388_at	S000003966	mapped	alias_bridge
10389_at	S000003965	mapped	alias_bridge
10390_at	S000003964	mapped	alias_bridge
10391_at	S000003963	mapped	alias_bridge
10392_at	S000003962	mapped	alias_bridge
10393_at	S000003961	mapped	alias_bridge
10394_at		unmapped	none
10395_at	S000003959	mapped	alias_bridge
10396_at		unmapped	none
10397_at		unmapped	none
10398_at		unmapped	none
10399_at		unmapped	none
10400_at		unmapped	none
10401_at		unmapped	none
10402_at		unmapped	none
10403_at		unmapped	none
10404_at		unmapped	none
10405_at		unmapped	none
10406_at		unmapped	none
10407_at		unmapped	none
10408_at		unmapped	none
10409_at		unmapped	none
10410_at		unmapped	none
10411_f_at		unmapped	none
10412_f_at		unmapped	none
10413_at	S000003986	mapped	alias_bridge
10414_at	S000003985	mapped	alias_bridge
10415_at	S000003984	mapped	alias_bridge
10416_at	S000003983	mapped	alias_bridge
10417_at		unmapped	none
10418_at	S000003981	mapped	alias_bridge
10419_at		unmapped	none
10420_at		unmapped	none
10421_at	S000001808	mapped	alias_bridge
10422_at		unmapped	none
10423_at		unmapped	none
10424_at		unmapped	none
10425_at		unmapped	none
10426_at		unmapped	none
10427_at		unmapped	none
10428_at		unmapped	none
10429_at		unmapped	none
10430_at		unmapped	none
10431_at		unmapped	none
10432_at		unmapped	none
10433_at		unmapped	none
10434_at		unmapped	none
10435_at	S000028421	mapped	alias_bridge
10436_at		unmapped	none
10437_at		unmapped	none
10438_at		unmapped	none
10439_at	S000028524	mapped	alias_bridge
10440_at		unmapped	none
10441_at		unmapped	none
10442_s_at	S000001684	mapped	alias_bridge
10443_at		unmapped	none
10444_at		unmapped	none
10445_s_at	S000001684	mapped	alias_bridge
10446_s_at	S000001681	mapped	alias_bridge
10447_s_at	S000001681	mapped	alias_bridge
10448_s_at	S000007242	mapped	alias_bridge
10449_at		unmapped	none
10450_at		unmapped	none
10451_at		unmapped	none
10452_at	S000007615	mapped	alias_bridge
10453_at		unmapped	none
10454_at		unmapped	none
10455_at		unmapped	none
10456_at		unmapped	none
10457_at		unmapped	none
10458_at		unmapped	none
10459_at		unmapped	none
10460_at		unmapped	none
10461_at		unmapped	none
10462_at		unmapped	none
10463_at		unmapped	none
10464_at	S000001793	mapped	alias_bridge
10465_at	S000001794	mapped	alias_bridge
10466_at	S000001795	mapped	alias_bridge
10467_at	S000001796	mapped	alias_bridge
10468_at	S000001797	mapped	alias_bridge
10469_at	S000001798	mapped	alias_bridge
10470_at	S000001799	mapped	alias_bridge
10471_at	S000001800	mapped	alias_bridge
10472_at	S000001801	mapped	alias_bridge
10473_i_at	S000001802	mapped	alias_bridge
10474_s_at	S000001802	mapped	alias_bridge
10475_at	S000001803	mapped	alias_bridge
10476_at	S000001804	mapped	alias_bridge
10477_g_at	S000001804	mapped	alias_bridge
10478_at	S000001805	mapped	alias_bridge
10479_at	S000001806	mapped	alias_bridge
10480_at	S000001807	mapped	alias_bridge
10481_at	S000001808	mapped	alias_bridge
10482_at	S000001809	mapped	alias_bridge
10483_at	S000001810	mapped	alias_bridge
10484_at	S000001811	mapped	alias_bridge
10485_at	S000001812	mapped	alias_bridge
10486_s_at	S000001813	mapped	alias_bridge
10487_at	S000001770	mapped	alias_bridge
10488_at	S000001771	mapped	alias_bridge
10489_at	S000001772	mapped	alias_bridge
10490_at	S000001773	mapped	alias_bridge
10491_at	S000001774	mapped	alias_bridge
10492_at	S000001775	mapped	alias_bridge
10493_at	S000001776	mapped	alias_bridge
10494_at	S000001777	mapped	alias_bridge
10495_at	S000001778	mapped	alias_bridge
10496_at	S000001779	mapped	alias_bridge
10497_at	S000001780	mapped	alias_bridge
10498_at		unmapped	none
10499_at	S000001782	mapped	alias_bridge
10500_at	S000001783	mapped	alias_bridge
10501_at	S000001784	mapped	alias_bridge
10502_at	S000001785	mapped	alias_bridge
10503_at	S000001786	mapped	alias_bridge
10504_at	S000001787	mapped	alias_bridge
10505_at	S000001788	mapped	alias_bridge
10506_at	S000001789	mapped	alias_bridge
10507_at	S000001790	mapped	alias_bridge
10508_at	S000001791	mapped	alias_bridge
10509_at	S000001792	mapped	alias_bridge
10510_at	S000001746	mapped	alias_bridge
10511_at	S000001747	mapped	alias_bridge
10512_at		unmapped	none
10513_at	S000001749	mapped	alias_bridge
10514_at	S000001750	mapped	alias_bridge
10515_at	S000001751	mapped	alias_bridge
10516_at	S000001752	mapped	alias_bridge
10517_at	S000001753	mapped	alias_bridge
10518_at	S000001754	mapped	alias_bridge
10519_at		unmapped	none
10520_at	S000001756	mapped	alias_bridge
10521_at	S000001757	mapped	alias_bridge
10522_at	S000001758	mapped	alias_bridge
10523_at	S000001759	mapped	alias_bridge
10524_at	S000001760	mapped	alias_bridge
10525_at	S000001761	mapped	alias_bridge
10526_at	S000001762	mapped	alias_bridge
10527_at	S000001763	mapped	alias_bridge
10528_at	S000001764	mapped	alias_bridge
10529_i_at	S000001765	mapped	alias_bridge
10530_at	S000001766	mapped	alias_bridge
10531_at	S000001768	mapped	alias_bridge
10532_at	S000001769	mapped	alias_bridge
10533_at	S000001724	mapped	alias_bridge
10534_at	S000001725	mapped	alias_bridge
10535_at	S000001726	mapped	alias_bridge
10536_at	S000001727	mapped	alias_bridge
10537_at	S000001728	mapped	alias_bridge
10538_at	S000001729	mapped	alias_bridge
10539_at	S000001730	mapped	alias_bridge
10540_at	S000001731	mapped	alias_bridge
10541_at	S000001732	mapped	alias_bridge
10542_at	S000001733	mapped	alias_bridge
10543_at	S000001734	mapped	alias_bridge
10544_at	S000001735	mapped	alias_bridge
10545_at	S000001736	mapped	alias_bridge
10546_at	S000001737	mapped	alias_bridge
10547_at	S000001738	mapped	alias_bridge
10548_at	S000001739	mapped	alias_bridge
10549_at		unmapped	none
10550_at		unmapped	none
10551_at	S000001742	mapped	alias_bridge
10552_at	S000006435	mapped	alias_bridge
10553_at	S000001744	mapped	alias_bridge
10554_at	S000001745	mapped	alias_bridge
10555_at	S000002101	mapped	alias_bridge
10556_i_at	S000001489	mapped	alias_bridge
10557_f_at	S000001489	mapped	alias_bridge
10558_s_at	S000001489	mapped	alias_bridge
10559_at	S000001488	mapped	alias_bridge
10560_at	S000001487	mapped	alias_bridge
10561_at	S000001486	mapped	alias_bridge
10562_at	S000001485	mapped	alias_bridge
10563_at	S000001484	mapped	alias_bridge
10564_at	S000001709	mapped	alias_bridge
10565_at	S000001710	mapped	alias_bridge
10566_at	S000001711	mapped	alias_bridge
10567_at	S000001712	mapped	alias_bridge
10568_at	S000001713	mapped	alias_bridge
10569_at	S000001714	mapped	alias_bridge
10570_at	S000001715	mapped	alias_bridge
10571_at	S000001716	mapped	alias_bridge
10572_at	S000001717	mapped	alias_bridge
10573_at	S000001718	mapped	alias_bridge
10574_at	S000001719	mapped	alias_bridge
10575_at		unmapped	none
10576_at	S000001721	mapped	alias_bridge
10577_at	S000001722	mapped	alias_bridge
10578_at	S000001723	mapped	alias_bridge
10579_at	S000001511	mapped	alias_bridge
10580_at	S000001510	mapped	alias_bridge
10581_at	S000001509	mapped	alias_bridge
10582_at	S000001508	mapped	alias_bridge
10583_at	S000001507	mapped	alias_bridge
10584_at	S000001506	mapped	alias_bridge
10585_at	S000001505	mapped	alias_bridge
10586_at	S000001504	mapped	alias_bridge
10587_at	S000001503	mapped	alias_bridge
10588_at	S000001502	mapped	alias_bridge
10589_at	S000001501	mapped	alias_bridge
10590_at	S000001500	mapped	alias_bridge
10591_at	S000001499	mapped	alias_bridge
10592_at	S000001498	mapped	alias_bridge
10593_at	S000001497	mapped	alias_bridge
10594_at	S000001496	mapped	alias_bridge
10595_at	S000001495	mapped	alias_bridge
10596_at	S000001494	mapped	alias_bridge
10597_at	S000001493	mapped	alias_bridge
10598_at	S000001492	mapped	alias_bridge
10599_at	S000001491	mapped	alias_bridge
10600_at	S000001490	mapped	alias_bridge
10601_at	S000001534	mapped	alias_bridge
10602_at	S000001533	mapped	alias_bridge
10603_at	S000001532	mapped	alias_bridge
10604_at	S000001531	mapped	alias_bridge
10605_at	S000001530	mapped	alias_bridge
10606_at	S000001529	mapped	alias_bridge
10607_at	S000001528	mapped	alias_bridge
10608_at		unmapped	none
10609_at	S000001526	mapped	alias_bridge
10610_at	S000001525	mapped	alias_bridge
10611_at	S000001524	mapped	alias_bridge
10612_at	S000001523	mapped	alias_bridge
