raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
229533.A0A098CYV1	229533.I1RVU9	FGRAMPH1_01G00009	FGRAMPH1_01G09847	True		224	224	0	0
229533.A0A098CYV1	229533.A0A098DE29	FGRAMPH1_01G00009	FGRAMPH1_01G09799	True		310	94	0	270
229533.A0A098CYV1	229533.A0A098DSM2	FGRAMPH1_01G00009	FGRAMPH1_01G24685	True		310	94	0	270
229533.A0A098CYV1	229533.A0A0E0RZ26	FGRAMPH1_01G00009	FGRAMPH1_01G09397	True		191	134	0	0
229533.A0A098CYV1	229533.I1RGP4	FGRAMPH1_01G00009	FGRAMPH1_01G11613	True		162	145	0	0
229533.A0A098CYV1	229533.A0A0E0S1U8	FGRAMPH1_01G00009	FGRAMPH1_01G11341	True		218	218	0	0
229533.A0A098CYV1	229533.I1S360	FGRAMPH1_01G00009	FGRAMPH1_01G21537	True		162	145	0	0
229533.A0A098CYV1	229533.I1RZ25	FGRAMPH1_01G00009	FGRAMPH1_01G26605	True		179	119	0	0
229533.A0A098CYV1	229533.A0A0E0SDM0	FGRAMPH1_01G00009	FGRAMPH1_01G25027	True		162	145	0	0
229533.A0A098CYV1	229533.A0A0E0RU38	FGRAMPH1_01G00009	FGRAMPH1_01G05917	True		164	0	0	0
229533.A0A098CYV1	229533.I1S7M8	FGRAMPH1_01G00009	FGRAMPH1_01G19243	True		196	196	0	0
229533.A0A098CYV1	229533.V6R3J1	FGRAMPH1_01G00009	FGRAMPH1_01G14983	True		201	0	0	0
229533.A0A098CYV1	229533.I1RGZ3	FGRAMPH1_01G00009	FGRAMPH1_01G11881	True		410	0	0	0
229533.A0A098CYV1	229533.I1RGU7	FGRAMPH1_01G00009	FGRAMPH1_01G11751	True		167	167	0	0
229533.A0A098CYV1	229533.I1RC29	FGRAMPH1_01G00009	FGRAMPH1_01G02811	True		329	130	0	0
229533.A0A098CYV1	229533.V6QVM5	FGRAMPH1_01G00009	FGRAMPH1_01G02595	True		172	68	0	0
229533.A0A098CYV1	229533.I1RRT3	FGRAMPH1_01G00009	FGRAMPH1_01G23269	True		943	684	268	597
229533.A0A098CYV1	229533.I1S3F7	FGRAMPH1_01G00009	FGRAMPH1_01G21817	True		165	55	0	0
229533.A0A098CYV1	229533.A0A098DUH5	FGRAMPH1_01G00009	FGRAMPH1_01G26689	True		165	55	0	0
229533.A0A098CYV1	229533.I1S8L1	FGRAMPH1_01G00009	FGRAMPH1_01G25403	True		162	145	0	0
229533.A0A098CYV1	229533.A0A0E0SGB3	FGRAMPH1_01G00009	FGRAMPH1_01G26389	True		191	134	0	0
229533.A0A098CYV1	229533.I1RD45	FGRAMPH1_01G00009	FGRAMPH1_01G03747	True		158	0	157	0
229533.A0A098CYV1	229533.A0A1C3YJD4	FGRAMPH1_01G00009	FGRAMPH1_01G08609	True		201	0	0	0
229533.A0A098CYV1	229533.I1RB58	FGRAMPH1_01G00009	FGRAMPH1_01G01929	True		543	0	0	0
229533.A0A098CYV1	229533.I1RZ86	FGRAMPH1_01G00009	FGRAMPH1_01G26443	True		197	0	0	0
229533.A0A098CYV1	229533.A0A1C3YL67	FGRAMPH1_01G00009	FGRAMPH1_01G25017	True		208	208	0	0
229533.A0A098CYV1	229533.I1RHX5	FGRAMPH1_01G00009	FGRAMPH1_01G12769	True		153	149	0	0
229533.A0A098CYV1	229533.I1RBF3	FGRAMPH1_01G00009	FGRAMPH1_01G02181	True		292	0	0	0
229533.A0A098CYV1	229533.A0A0E0RXA9	FGRAMPH1_01G00009	FGRAMPH1_01G08161	True		230	0	0	0
229533.A0A098CYV1	229533.I1RZD9	FGRAMPH1_01G00009	FGRAMPH1_01G26295	True		172	0	157	0
229533.A0A098CYV1	229533.A0A098DI95	FGRAMPH1_01G00009	FGRAMPH1_01G11765	True		158	0	157	0
