raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
C24G6.8.1		unmapped	none	no evidence found
C24G7.1.1	WBGene00016063	mapped	alias_bridge	STRING aliases bridge
C24G7.2.1	WBGene00016064	mapped	alias_bridge	STRING aliases bridge
C24G7.4.1	WBGene00016066	mapped	alias_bridge	STRING aliases bridge
C24H10.1.1	WBGene00016067	mapped	alias_bridge	STRING aliases bridge
C24H11.1.1	WBGene00007699	mapped	alias_bridge	STRING aliases bridge
C24H11.2.1	WBGene00007700	mapped	alias_bridge	STRING aliases bridge
C24H11.3.1	WBGene00006557	mapped	alias_bridge	STRING aliases bridge
C24H11.4.1	WBGene00007701	mapped	alias_bridge	STRING aliases bridge
C24H11.5b.1	WBGene00007702	mapped	alias_bridge	STRING aliases bridge
C24H11.6.1	WBGene00007021	mapped	alias_bridge	STRING aliases bridge
C24H11.7a.1		unmapped	none	no evidence found
C24H11.8b.1	WBGene00006690	mapped	alias_bridge	STRING aliases bridge
C24H11.9.1	WBGene00007704	mapped	alias_bridge	STRING aliases bridge
C24H12.4a.1	WBGene00016073	mapped	alias_bridge	STRING aliases bridge
C24H12.5b.1		unmapped	none	no evidence found
C25A1.1.1	WBGene00007705	mapped	alias_bridge	STRING aliases bridge
C25A1.10a.2		unmapped	none	no evidence found
C25A1.11a.1		unmapped	none	no evidence found
C25A1.12b.2	WBGene00007711	mapped	alias_bridge	STRING aliases bridge
C25A1.13.1	WBGene00007712	mapped	alias_bridge	STRING aliases bridge
C25A1.2.2	WBGene00001442	mapped	alias_bridge	STRING aliases bridge
C25A1.20.1		unmapped	none	no evidence found
C25A1.3.1	WBGene00006447	mapped	alias_bridge	STRING aliases bridge
C25A1.4.2	WBGene00045383	mapped	alias_bridge	STRING aliases bridge
C25A1.5.1		unmapped	none	no evidence found
C25A1.6.1		unmapped	none	no evidence found
C25A1.7.1		unmapped	none	no evidence found
C25A1.8.1	WBGene00007709	mapped	alias_bridge	STRING aliases bridge
C25A1.9a.1		unmapped	none	no evidence found
C25A11.4f.1		unmapped	none	no evidence found
C25A6.1.1	WBGene00016081	mapped	alias_bridge	STRING aliases bridge
C25A8.4.1	WBGene00016084	mapped	alias_bridge	STRING aliases bridge
C25A8.5.1	WBGene00016085	mapped	alias_bridge	STRING aliases bridge
C25B8.1b.1	WBGene00002233	mapped	alias_bridge	STRING aliases bridge
C25B8.3a.1		unmapped	none	no evidence found
C25B8.4b.1	WBGene00016088	mapped	alias_bridge	STRING aliases bridge
C25B8.5a.1		unmapped	none	no evidence found
C25B8.6.1	WBGene00003710	mapped	alias_bridge	STRING aliases bridge
C25B8.7.1		unmapped	none	no evidence found
C25D7.16.1	WBGene00050940	mapped	alias_bridge	STRING aliases bridge
C25D7.3.1		unmapped	none	no evidence found
C25D7.6.1	WBGene00003155	mapped	alias_bridge	STRING aliases bridge
C25D7.7.1	WBGene00004308	mapped	alias_bridge	STRING aliases bridge
C25D7.8.2	WBGene00007718	mapped	alias_bridge	STRING aliases bridge
C25E10.1.1		unmapped	none	no evidence found
C25E10.2.1	WBGene00016092	mapped	alias_bridge	STRING aliases bridge
C25E10.3a.1	WBGene00016093	mapped	alias_bridge	STRING aliases bridge
