raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
ENSP00000339992	ENSG00000118513	mapped	alias_bridge	STRING aliases bridge
ENSP00000340004		ambiguous	alias_bridge	multiple matches: ENSG00000171295;ENSG00000249709
ENSP00000340019	ENSG00000144381	mapped	alias_bridge	STRING aliases bridge
ENSP00000340088	ENSG00000105549	mapped	alias_bridge	STRING aliases bridge
ENSP00000340132	ENSG00000188283	mapped	alias_bridge	STRING aliases bridge
ENSP00000340176	ENSG00000157110	mapped	alias_bridge	STRING aliases bridge
ENSP00000340200	ENSG00000149124	mapped	alias_bridge	STRING aliases bridge
ENSP00000340211	ENSG00000172725	mapped	alias_bridge	STRING aliases bridge
ENSP00000340212	ENSG00000187806	mapped	alias_bridge	STRING aliases bridge
ENSP00000340220	ENSG00000146576	mapped	alias_bridge	STRING aliases bridge
ENSP00000340226	ENSG00000162761	mapped	alias_bridge	STRING aliases bridge
ENSP00000340243	ENSG00000132824	mapped	alias_bridge	STRING aliases bridge
ENSP00000340271	ENSG00000165632	mapped	alias_bridge	STRING aliases bridge
ENSP00000340278	ENSG00000116288	mapped	alias_bridge	STRING aliases bridge
ENSP00000340279	ENSG00000117155	mapped	alias_bridge	STRING aliases bridge
ENSP00000340292	ENSG00000185559	mapped	alias_bridge	STRING aliases bridge
ENSP00000340296		unmapped	none	no evidence found
ENSP00000340299	ENSG00000159714	mapped	alias_bridge	STRING aliases bridge
ENSP00000340305	ENSG00000244687	mapped	alias_bridge	STRING aliases bridge
ENSP00000340328	ENSG00000188937	mapped	alias_bridge	STRING aliases bridge
ENSP00000340329	ENSG00000135387	mapped	alias_bridge	STRING aliases bridge
ENSP00000340330	ENSG00000172977	mapped	alias_bridge	STRING aliases bridge
ENSP00000340347	ENSG00000081059	mapped	alias_bridge	STRING aliases bridge
ENSP00000340361	ENSG00000114739	mapped	alias_bridge	STRING aliases bridge
ENSP00000340373	ENSG00000157540	mapped	alias_bridge	STRING aliases bridge
ENSP00000340402	ENSG00000188991	mapped	alias_bridge	STRING aliases bridge
ENSP00000340409	ENSG00000166311	mapped	alias_bridge	STRING aliases bridge
