species_key	comparison_level	focal_taxid	focal_scientific_name	matched_taxid	matched_scientific_name	matched_phylum	matched_class	matched_order	matched_family	matched_genus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	13370	Brettanomyces naardenensis	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Pichiaceae	g__Brettanomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	149040	Mollisia scopiformis	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Mollisiaceae	g__Mollisia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1051890	Terfezia boudieri ATCC MYA-4762	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pezizaceae	g__Terfezia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1095630	Hyaloscypha bicolor E	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Hyaloscypha
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1356009	Byssochlamys spectabilis (strain No. 5 / NBRC 109023)	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Thermoascaceae	g__Paecilomyces
fgraminearum	phylum	229533	Fusarium graminearum PH-1	41688	Lomentospora prolificans	p__Ascomycota	c__Sordariomycetes	o__Microascales	f__Microascaceae	g__Lomentospora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	914237	Rhynchosporium commune	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Ploettnerulaceae	g__Rhynchosporium
fgraminearum	phylum	229533	Fusarium graminearum PH-1	2070412	Rutstroemia sp. NJR-2017a WRK4	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Rutstroemiaceae	g__Rutstroemia
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1220924	Cyphellophora europaea CBS 101466	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Cyphellophoraceae	g__Cyphellophora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1408157	Coniochaeta ligniaria NRRL 30616	p__Ascomycota	c__Sordariomycetes	o__Coniochaetales	f__Coniochaetaceae	g__Coniochaeta
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1460663	Paraphaeosphaeria sporulosa	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Paraphaeosphaeria
fgraminearum	phylum	229533	Fusarium graminearum PH-1	323545	Xylaria multiplex	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Xylariaceae	g__Xylaria
fgraminearum	phylum	229533	Fusarium graminearum PH-1	546991	Blumeria graminis f. sp. hordei (strain DH14)	p__Ascomycota	c__Leotiomycetes	o__Erysiphales	f__Erysiphaceae	g__Blumeria
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1250544	Sphaerosporella brunnea	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae	g__Sphaerosporella
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1229662	Pestalotiopsis fici (strain W106-1 / CGMCC3.15140)	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Sporocadaceae	g__Pestalotiopsis
fgraminearum	phylum	229533	Fusarium graminearum PH-1	765868	Stagonospora sp. SRC1lsM3a	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Massarinaceae	g__Stagonospora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	56408	Hanseniaspora osmophila	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycodaceae	g__Hanseniaspora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1344418	Ascoidea rubescens DSM 1968	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Ascoideaceae	g__Ascoidea
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1283841	Stachybotrys chlorohalonata (strain IBT 40285)	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Stachybotryaceae	g__Stachybotrys
fgraminearum	phylum	229533	Fusarium graminearum PH-1	515849	Podospora anserina (strain S / ATCC MYA-4624 / DSM 980 / FGSC 10383)	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Podosporaceae	g__Podospora
fgraminearum	phylum	229533	Fusarium graminearum PH-1	2082308	Sphaceloma murrayae	p__Ascomycota	c__Dothideomycetes	o__Myriangiales	f__Elsinoaceae	g__Sphaceloma
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1507870	Rachicladosporium antarcticum	p__Ascomycota	c__Dothideomycetes	o__Cladosporiales	f__Cladosporiaceae	g__Cryoendolithus
fgraminearum	phylum	229533	Fusarium graminearum PH-1	503106	Marssonina coronariae	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Dermateaceae	g__Marssonina
fgraminearum	phylum	229533	Fusarium graminearum PH-1	1141098	Pseudomassariella vexata	p__Ascomycota	c__Sordariomycetes	o__Xylariales	f__Pseudomassariaceae	g__Pseudomassariella
fgraminearum	phylum	229533	Fusarium graminearum PH-1	2025994	Coniella lustricola	p__Ascomycota	c__Sordariomycetes	o__Diaporthales	f__Schizoparmaceae	g__Coniella
fgraminearum	class	229533	Fusarium graminearum PH-1	1213859	Colletotrichum fructicola (strain Nara gc5)	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Glomerellaceae	g__Colletotrichum
fgraminearum	class	229533	Fusarium graminearum PH-1	242507	Magnaporthe oryzae (strain 70-15 / ATCC MYA-4617 / FGSC 8958)	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Pyriculariaceae	g__Pyricularia
fgraminearum	class	229533	Fusarium graminearum PH-1	306901	Chaetomium globosum (strain ATCC 6205 / CBS 148.51 / DSM 1962 / NBRC 6347 / NRRL 1970)	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Chaetomium
fgraminearum	class	229533	Fusarium graminearum PH-1	413071	Hypocrea virens (strain Gv29-8 / FGSC 10586)	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma
fgraminearum	class	229533	Fusarium graminearum PH-1	498257	Verticillium dahliae (strain VdLs.17 / ATCC MYA-4575 / FGSC 10137)	p__Ascomycota	c__Sordariomycetes	o__Glomerellales	f__Plectosphaerellaceae	g__Verticillium
fgraminearum	class	229533	Fusarium graminearum PH-1	573729	Myceliophthora thermophila (strain ATCC 42464 / BCRC 31852 / DSM 1799)	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Thermothelomyces
fgraminearum	class	229533	Fusarium graminearum PH-1	644352	Gaeumannomyces tritici (strain R3-111a-1)	p__Ascomycota	c__Sordariomycetes	o__Magnaporthales	f__Magnaporthaceae	g__Gaeumannomyces
