taxid	uniprot_id	species_name	domain	scientific_name	kingdom	phylum	class	order	family	genus	species
336722	UP000008062	Zymoseptoria tritici (strain CBS 115943 / IPO323)	Eukaryota	Zymoseptoria tritici IPO323	k__Eukaryota	p__Ascomycota	c__Dothideomycetes	o__Mycosphaerellales	f__Mycosphaerellaceae	g__Zymoseptoria	s__Zymoseptoria tritici
336963	UP000002058	Uncinocarpus reesii (strain UAMH 1704)	Eukaryota	Uncinocarpus reesii 1704	k__Eukaryota	p__Ascomycota	c__Eurotiomycetes	o__Onygenales	f__Onygenaceae	g__Uncinocarpus	s__Uncinocarpus reesii
34765	UP000001307	Oikopleura dioica	Eukaryota	Oikopleura dioica	k__Eukaryota	p__Chordata	c__Appendicularia	o__Copelata	f__Oikopleuridae	g__Oikopleura	s__Oikopleura dioica
353152	UP000006726	Cryptosporidium parvum (strain Iowa II)	Eukaryota	Cryptosporidium parvum Iowa II	k__Eukaryota	p__Apicomplexa	c__Conoidasida	o__Eucoccidiorida	f__Cryptosporidiidae	g__Cryptosporidium	s__Cryptosporidium parvum
379508	UP000001996	Lodderomyces elongisporus (strain ATCC 11503 / CBS 2605 / JCM 1781 / NBRC 1676 / NRRL YB-4239)	Eukaryota	Lodderomyces elongisporus NRRL YB-4239	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Debaryomycetaceae	g__Lodderomyces	s__Lodderomyces elongisporus
3988	UP000008311	Ricinus communis	Eukaryota	Ricinus communis	k__Eukaryota	p__Streptophyta	c__Magnoliopsida	o__Malpighiales	f__Euphorbiaceae	g__Ricinus	s__Ricinus communis
413071	UP000007115	Hypocrea virens (strain Gv29-8 / FGSC 10586)	Eukaryota	Trichoderma virens Gv29-8	k__Eukaryota	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Hypocreaceae	g__Trichoderma	s__Trichoderma virens
423536	UP000007800	Perkinsus marinus (strain ATCC 50983 / TXsc)	Eukaryota	Perkinsus marinus ATCC 50983	k__Eukaryota	p__Perkinsozoa	c__unclassified Perkinsozoa class	o__Perkinsida	f__Perkinsidae	g__Perkinsus	s__Perkinsus marinus
425265	UP000008837	Malassezia globosa (strain ATCC MYA-4612 / CBS 7966)	Eukaryota	Malassezia globosa CBS 7966	k__Eukaryota	p__Basidiomycota	c__Malasseziomycetes	o__Malasseziales	f__Malasseziaceae	g__Malassezia	s__Malassezia globosa
426418	UP000001471	Pyrenophora tritici-repentis (strain Pt-1C-BFP)	Eukaryota	Pyrenophora tritici-repentis Pt-1C-BFP	k__Eukaryota	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Pyrenophora	s__Pyrenophora tritici-repentis
436907	UP000000267	Vanderwaltozyma polyspora (strain ATCC 22028 / DSM 70294 / BCRC 21397 / CBS 2163 / NBRC 10782 / NRRL Y-8283 / UCD 57-17)	Eukaryota	Vanderwaltozyma polyspora DSM 70294	k__Eukaryota	p__Ascomycota	c__Saccharomycetes	o__Saccharomycetales	f__Saccharomycetaceae	g__Vanderwaltozyma	s__Vanderwaltozyma polyspora
