species_key	focal_taxid	query_level_taxid	query_level_name	member_orthodb_organism_id	member_taxid	member_scientific_name
celegans	6239	2759	Eukaryota	5689_0	5689	Leishmania tarentolae
celegans	6239	2759	Eukaryota	5693_0	5693	Trypanosoma cruzi
celegans	6239	2759	Eukaryota	5693_1	5693	Trypanosoma cruzi
celegans	6239	2759	Eukaryota	5694_0	5694	Trypanosoma equiperdum
celegans	6239	2759	Eukaryota	5698_0	5698	Trypanosoma rangeli
celegans	6239	2759	Eukaryota	5699_0	5699	Trypanosoma vivax
celegans	6239	2759	Eukaryota	5741_0	5741	Giardia intestinalis
celegans	6239	2759	Eukaryota	5741_1	5741	Giardia intestinalis
celegans	6239	2759	Eukaryota	5742_0	5742	Giardia muris
celegans	6239	2759	Eukaryota	5759_0	5759	Entamoeba histolytica
celegans	6239	2759	Eukaryota	5762_0	5762	Naegleria gruberi
celegans	6239	2759	Eukaryota	5763_0	5763	Naegleria fowleri
celegans	6239	2759	Eukaryota	5786_0	5786	Dictyostelium purpureum
celegans	6239	2759	Eukaryota	5801_0	5801	Eimeria acervulina
celegans	6239	2759	Eukaryota	5802_0	5802	Eimeria tenella
celegans	6239	2759	Eukaryota	5804_0	5804	Eimeria maxima
celegans	6239	2759	Eukaryota	5807_0	5807	Cryptosporidium parvum
celegans	6239	2759	Eukaryota	5811_0	5811	Toxoplasma gondii
celegans	6239	2759	Eukaryota	5821_0	5821	Plasmodium berghei
celegans	6239	2759	Eukaryota	5823_0	5823	Plasmodium berghei ANKA
celegans	6239	2759	Eukaryota	5824_0	5824	Plasmodium brasilianum
celegans	6239	2759	Eukaryota	5826_0	5826	Plasmodium chabaudi adami
celegans	6239	2759	Eukaryota	5835_0	5835	Plasmodium falciparum CAMP/Malaysia
celegans	6239	2759	Eukaryota	5843_0	5843	Plasmodium falciparum NF54
celegans	6239	2759	Eukaryota	5849_0	5849	Plasmodium gallinaceum
celegans	6239	2759	Eukaryota	5850_0	5850	Plasmodium knowlesi
celegans	6239	2759	Eukaryota	5851_0	5851	Plasmodium knowlesi strain H
celegans	6239	2759	Eukaryota	5854_0	5854	Plasmodium reichenowi
celegans	6239	2759	Eukaryota	5855_0	5855	Plasmodium vivax
celegans	6239	2759	Eukaryota	5855_1	5855	Plasmodium vivax
celegans	6239	2759	Eukaryota	5855_2	5855	Plasmodium vivax
celegans	6239	2759	Eukaryota	5857_0	5857	Plasmodium fragile
celegans	6239	2759	Eukaryota	5858_0	5858	Plasmodium malariae
celegans	6239	2759	Eukaryota	5860_0	5860	Plasmodium vinckei
celegans	6239	2759	Eukaryota	5861_0	5861	Plasmodium yoelii
