protocol	species	feature_group	reference_gene_set	comparison_gene_set	reference_n_genes	comparison_n_genes	reference_mean	comparison_mean	reference_median	comparison_median	mean_difference_reference_minus_comparison	median_difference_reference_minus_comparison	mannwhitney_u	mannwhitney_pvalue	test_available	mannwhitney_fdr_bh
fgraminearum_newlabel	fgraminearum	ESM2	stable_rescued	persistent_FN	23	25	0.23570064175873992	-0.3606393900319616	0.2407606601715088	-0.37383478304254825	0.5963400317907015	0.614595443214057	575.0	3.1615166902184294e-09	true	2.5292133521747436e-08
fgraminearum_newlabel	fgraminearum	ESM2	stable_rescued	corrected_FP	23	94	0.23570064175873992	-0.379854005603167	0.2407606601715088	-0.4002192312007537	0.6155546473619069	0.6409798913722625	2158.0	1.5470391163524022e-13	true	3.7128938792457656e-12
scerevisiae	scerevisiae	ORT	stable_rescued	always_correct_TP	16	95	0.06028133421204984	0.15277403011133797	0.0636336624622345	0.06180949211120605	-0.09249269589928813	0.0018241703510284424	612.0	0.21557740317852558	true	0.31534529481807283
scerevisiae	scerevisiae	ORT	stable_rescued	persistent_FN	16	22	0.06028133421204984	-0.0177788131189234	0.0636336624622345	0.0006101431379647692	0.07806014733097325	0.06302351932426972	250.0	0.029774819303830656	true	0.07939951814354841
scerevisiae	scerevisiae	ORT	stable_rescued	corrected_FP	16	88	0.06028133421204984	0.049963420003960174	0.0636336624622345	0.020739108475390823	0.010317914208089668	0.04289455398684367	788.0	0.4518810203874606	true	0.5372580112847184
scerevisiae	scerevisiae	EXP	stable_rescued	always_correct_TP	16	95	0.06601189618231729	0.1553353152816233	0.03243208527565003	0.05966489315032959	-0.08932341909930602	-0.027232807874679563	515.0	0.04009562823472932	true	0.09622950776335037
scerevisiae	scerevisiae	EXP	stable_rescued	persistent_FN	16	22	0.06601189618231729	-0.04298951361514924	0.03243208527565003	-0.006472832142026164	0.10900140979746653	0.038904917417676196	236.0	0.07855129080574498	true	0.15710258161148996
scerevisiae	scerevisiae	EXP	stable_rescued	corrected_FP	16	88	0.06601189618231729	0.03947805383132539	0.03243208527565003	0.012039607414772037	0.026533842350991897	0.020392477860877993	703.0	0.9964057916970726	true	0.9964057916970726
scerevisiae	scerevisiae	SUB	stable_rescued	always_correct_TP	16	95	0.06640280288702344	0.19637965669169236	0.005822378396987915	0.1104688048362732	-0.12997685380466892	-0.10464642643928528	421.0	0.004483662924240943	true	0.015372558597397517
scerevisiae	scerevisiae	SUB	stable_rescued	persistent_FN	16	22	0.06640280288702344	-0.06309424667598224	0.005822378396987915	-0.008393078079097904	0.12949704956300567	0.014215456476085818	227.0	0.13542048725202357	true	0.2500070533883512
scerevisiae	scerevisiae	SUB	stable_rescued	corrected_FP	16	88	0.06640280288702344	0.03643069128844235	0.005822378396987915	0.008507048026149277	0.02997211159858109	-0.0026846696291613617	659.0	0.688481107463083	true	0.7510702990506359
scerevisiae	scerevisiae	ESM2	stable_rescued	always_correct_TP	16	95	0.3053616382181645	0.44295254870464923	0.33664907813072203	0.47135463953018186	-0.13759091048648475	-0.13470556139945983	298.0	0.00010678179297638893	true	0.00042712717190555573
scerevisiae	scerevisiae	ESM2	stable_rescued	persistent_FN	16	22	0.3053616382181645	-0.4177246713927033	0.33664907813072203	-0.44628022091928865	0.7230863096108677	0.7829292990500107	352.0	2.1169189571903338e-07	true	1.2701513743142002e-06
scerevisiae	scerevisiae	ESM2	stable_rescued	corrected_FP	16	88	0.3053616382181645	-0.4068440572321016	0.33664907813072203	-0.43761581239523367	0.712205695450266	0.7742648905259557	1408.0	2.3262331177620356e-10	true	2.791479741314443e-09
