raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00387	ph1_gene_id	FGRAMPH1_01G00387	fgraminearum::FGRAMPH1_01G00387	resolved	exact_mainline_graph_id
FGRAMPH1_01G00391	ph1_gene_id	FGRAMPH1_01G00391	fgraminearum::FGRAMPH1_01G00391	resolved	exact_mainline_graph_id
FGRAMPH1_01G00393	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00395	ph1_gene_id	FGRAMPH1_01G00395	fgraminearum::FGRAMPH1_01G00395	resolved	exact_mainline_graph_id
FGRAMPH1_01G00397	ph1_gene_id	FGRAMPH1_01G00397	fgraminearum::FGRAMPH1_01G00397	resolved	exact_mainline_graph_id
FGRAMPH1_01G00399	ph1_gene_id	FGRAMPH1_01G00399	fgraminearum::FGRAMPH1_01G00399	resolved	exact_mainline_graph_id
FGRAMPH1_01G00403	ph1_gene_id	FGRAMPH1_01G00403	fgraminearum::FGRAMPH1_01G00403	resolved	exact_mainline_graph_id
FGRAMPH1_01G00405	ph1_gene_id	FGRAMPH1_01G00405	fgraminearum::FGRAMPH1_01G00405	resolved	exact_mainline_graph_id
FGRAMPH1_01G00441	ph1_gene_id	FGRAMPH1_01G00441	fgraminearum::FGRAMPH1_01G00441	resolved	exact_mainline_graph_id
FGRAMPH1_01G00443	ph1_gene_id	FGRAMPH1_01G00443	fgraminearum::FGRAMPH1_01G00443	resolved	exact_mainline_graph_id
FGRAMPH1_01G00447	ph1_gene_id	FGRAMPH1_01G00447	fgraminearum::FGRAMPH1_01G00447	resolved	exact_mainline_graph_id
FGRAMPH1_01G00449	ph1_gene_id	FGRAMPH1_01G00449	fgraminearum::FGRAMPH1_01G00449	resolved	exact_mainline_graph_id
FGRAMPH1_01G00455	ph1_gene_id	FGRAMPH1_01G00455	fgraminearum::FGRAMPH1_01G00455	resolved	exact_mainline_graph_id
FGRAMPH1_01G00457	ph1_gene_id	FGRAMPH1_01G00457	fgraminearum::FGRAMPH1_01G00457	resolved	exact_mainline_graph_id
FGRAMPH1_01G00461	ph1_gene_id	FGRAMPH1_01G00461	fgraminearum::FGRAMPH1_01G00461	resolved	exact_mainline_graph_id
FGRAMPH1_01G00465	ph1_gene_id	FGRAMPH1_01G00465	fgraminearum::FGRAMPH1_01G00465	resolved	exact_mainline_graph_id
FGRAMPH1_01G00473	ph1_gene_id	FGRAMPH1_01G00473	fgraminearum::FGRAMPH1_01G00473	resolved	exact_mainline_graph_id
FGRAMPH1_01G00475	ph1_gene_id	FGRAMPH1_01G00475	fgraminearum::FGRAMPH1_01G00475	resolved	exact_mainline_graph_id
FGRAMPH1_01G00477	ph1_gene_id	FGRAMPH1_01G00477	fgraminearum::FGRAMPH1_01G00477	resolved	exact_mainline_graph_id
FGRAMPH1_01G00479	ph1_gene_id	FGRAMPH1_01G00479	fgraminearum::FGRAMPH1_01G00479	resolved	exact_mainline_graph_id
FGRAMPH1_01G00481	ph1_gene_id	FGRAMPH1_01G00481	fgraminearum::FGRAMPH1_01G00481	resolved	exact_mainline_graph_id
