raw_id	raw_id_type	mapped_graph_gene_id	mapped_canonical_gene_id	mapping_status	mapping_rule
FGRAMPH1_01G00631	ph1_gene_id	FGRAMPH1_01G00631	fgraminearum::FGRAMPH1_01G00631	resolved	exact_mainline_graph_id
FGRAMPH1_01G00633	ph1_gene_id	FGRAMPH1_01G00633	fgraminearum::FGRAMPH1_01G00633	resolved	exact_mainline_graph_id
FGRAMPH1_01G00637	ph1_gene_id	FGRAMPH1_01G00637	fgraminearum::FGRAMPH1_01G00637	resolved	exact_mainline_graph_id
FGRAMPH1_01G00659	ph1_gene_id	FGRAMPH1_01G00659	fgraminearum::FGRAMPH1_01G00659	resolved	exact_mainline_graph_id
FGRAMPH1_01G00679	ph1_gene_id	FGRAMPH1_01G00679	fgraminearum::FGRAMPH1_01G00679	resolved	exact_mainline_graph_id
FGRAMPH1_01G00721	ph1_gene_id	FGRAMPH1_01G00721	fgraminearum::FGRAMPH1_01G00721	resolved	exact_mainline_graph_id
FGRAMPH1_01G00731	ph1_gene_id	FGRAMPH1_01G00731	fgraminearum::FGRAMPH1_01G00731	resolved	exact_mainline_graph_id
FGRAMPH1_01G00747	ph1_gene_id	FGRAMPH1_01G00747	fgraminearum::FGRAMPH1_01G00747	resolved	exact_mainline_graph_id
FGRAMPH1_01G00753	ph1_gene_id	FGRAMPH1_01G00753	fgraminearum::FGRAMPH1_01G00753	resolved	exact_mainline_graph_id
FGRAMPH1_01G00755	ph1_gene_id	FGRAMPH1_01G00755	fgraminearum::FGRAMPH1_01G00755	resolved	exact_mainline_graph_id
FGRAMPH1_01G00763	ph1_gene_id	FGRAMPH1_01G00763	fgraminearum::FGRAMPH1_01G00763	resolved	exact_mainline_graph_id
FGRAMPH1_01G00771	ph1_gene_id	FGRAMPH1_01G00771	fgraminearum::FGRAMPH1_01G00771	resolved	exact_mainline_graph_id
FGRAMPH1_01G00773	ph1_gene_id	FGRAMPH1_01G00773	fgraminearum::FGRAMPH1_01G00773	resolved	exact_mainline_graph_id
FGRAMPH1_01G00779	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00781	ph1_gene_id			unresolved	not_found
FGRAMPH1_01G00785	ph1_gene_id	FGRAMPH1_01G00785	fgraminearum::FGRAMPH1_01G00785	resolved	exact_mainline_graph_id
