Target	Species	Regime	Model	Feature_Setting	ESM2_Dim	Label_Regime	Split_Version	Runs	Seed_List	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std
fgraminearum	fgraminearum	oldlabel	GCN	ORT		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7755687103594081	0.0030748157372802428	0.20831871018078352	0.014399114540240458	0.16598663969686317	0.007882904181364146	0.15679626810120106	0.004765272307748543	0.08870789763014372	0.0028726960488265657	0.675	0.01700753357624522	0.716	0.008447208249113642
fgraminearum	fgraminearum	newlabel	GCN	ORT		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8055773294182389	0.0012185039010183716	0.3664240875294136	0.004687836373000622	0.3120914376936167	0.006119434838014338	0.346758168814298	0.004658274213761357	0.22324555535581245	0.0034567047939347046	0.7762557077625571	0.005775849607613477	0.7278748850045998	0.0038220014862633076
fgraminearum	fgraminearum	oldlabel	GCN	EXP		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.694838266384778	0.03432870057789738	0.07061603355621507	0.014980025742426956	0.12053775879655666	0.02092881998345798	0.1173459067086832	0.008039727597542885	0.06343979001796943	0.004442906657659953	0.7840909090909091	0.05969966152983498	0.5253023255813953	0.03234428102266156
fgraminearum	fgraminearum	newlabel	GCN	EXP		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8240055785896419	0.00733073104929786	0.40100236352668095	0.007175434520301082	0.27296704077066486	0.006673192505748001	0.30478102784776	0.0048643152607981965	0.18675652517746932	0.0034877022948462118	0.828310502283105	0.004656638825198899	0.636522539098436	0.007402131624615084
fgraminearum	fgraminearum	oldlabel	GCN	SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7782891120507399	0.012999320073112117	0.14758908355189665	0.01154845426231426	0.16526921114097987	0.005063278909838805	0.1510023465014047	0.005016256369169215	0.08431985226755608	0.003374540862550538	0.725	0.02530801983104553	0.6768372093023256	0.02350084863201954
fgraminearum	fgraminearum	newlabel	GCN	SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8046237602550692	0.01260405200595179	0.3965749526916421	0.003868924191637547	0.22042708222084806	0.02858670849633622	0.2653835155472845	0.023043870826459586	0.15851096524103792	0.01781884591731343	0.8301369863013699	0.040984119949437216	0.5482060717571298	0.068629131510232
fgraminearum	fgraminearum	oldlabel	GCN	ORT_EXP		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7844080338266385	0.0014703899121488687	0.18780700373898726	0.007799465562538455	0.1633995736079325	0.004287459434243287	0.15263702772182106	0.0024945759280186144	0.08572748961311587	0.0014818602325791755	0.6954545454545455	0.008503766788122622	0.696372093023256	0.0041953385241970875
fgraminearum	fgraminearum	newlabel	GCN	ORT_EXP		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8367464388182464	0.001121735841521159	0.3961230015660965	0.0025656566868020488	0.3160155692937986	0.003462348631935093	0.34533444257725304	0.0018229454111977446	0.2197832567703649	0.0009980940502547244	0.8054794520547945	0.007961459257608551	0.7119595216191352	0.002044720402106071
fgraminearum	fgraminearum	oldlabel	GCN	ORT_SUB		old440	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7972457716701904	0.0022200307001375105	0.20507726423537953	0.011269055870877377	0.17832992330127587	0.002384883923774774	0.16653489781166658	0.0024104331104676494	0.09499417339858487	0.0016820584821870173	0.675	0.009090909090909127	0.7366511627906976	0.008063565742425798
fgraminearum	fgraminearum	newlabel	GCN	ORT_SUB		new_label	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8268889701032963	0.017968265498479977	0.36470104386908064	0.03747022808928053	0.2754715351891507	0.047702252104098064	0.3064207457116949	0.0426555031231998	0.1885666126936057	0.03280491158992086	0.8484018264840183	0.03646112288160208	0.6128794848206071	0.108328001037402
