raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
7227.FBpp0082467	44	FBgn0038274(Ensembl_flybase_gene_id); FBgn0038274(Ensembl_gene); FBgn0038274(UniProt_DR_FlyBase)	FBgn0038274	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082468	40	FBgn0038272(Ensembl_flybase_gene_id); FBgn0038272(Ensembl_gene); FBgn0038272(UniProt_DR_FlyBase)	FBgn0038272	mapped	alias_match	UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082469	42			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082477	78			unmapped		Ensembl_EntrezGene; KEGG_EC; UniProt_DE_RecName_EC; KEGG_GENEID; UniProt_DR_GeneID
7227.FBpp0082478	78	FBgn0038256(Ensembl_flybase_gene_id); FBgn0038256(Ensembl_gene); FBgn0038256(UniProt_DR_FlyBase)	FBgn0038256	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_UniProt
7227.FBpp0082482	39	FBgn0038280(Ensembl_flybase_gene_id); FBgn0038280(Ensembl_gene); FBgn0038280(UniProt_DR_FlyBase)	FBgn0038280	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082483	44			unmapped		Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082484	38	FBgn0038291(Ensembl_flybase_gene_id); FBgn0038291(Ensembl_gene); FBgn0038291(UniProt_DR_FlyBase)	FBgn0038291	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082485	41	FBgn0038292(Ensembl_flybase_gene_id); FBgn0038292(Ensembl_gene); FBgn0038292(UniProt_DR_FlyBase)	FBgn0038292	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_protein_id
7227.FBpp0082488	56	FBgn0038296(Ensembl_flybase_gene_id); FBgn0038296(Ensembl_gene); FBgn0038296(UniProt_DR_FlyBase)	FBgn0038296	mapped	alias_match	KEGG_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING
7227.FBpp0082490	250			unmapped		Ensembl_EntrezGene; UniProt_DR_GeneID; Ensembl_STRING; Ensembl_UniProt; Ensembl_protein_id
7227.FBpp0082496	89			unmapped		KEGG_EC; UniProt_DE_RecName_EC; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID
