raw_protein1	raw_protein2	mapped_A	mapped_B	keep_edge	drop_reason	combined_score	coexpression	experimental	database
7227.FBpp0070001	7227.FBpp0083995	FBgn0031085		False	unmapped_B	252	253	0	0
7227.FBpp0070001	7227.FBpp0081107	FBgn0031085		False	unmapped_B	375	375	0	0
7227.FBpp0070001	7227.FBpp0111267	FBgn0031085		False	unmapped_B	199	199	0	0
7227.FBpp0070001	7227.FBpp0292903	FBgn0031085		False	unmapped_B	165	165	0	0
7227.FBpp0070001	7227.FBpp0073477	FBgn0031085	FBgn0030386	True		307	307	0	0
7227.FBpp0070001	7227.FBpp0074987	FBgn0031085	FBgn0036729	True		471	471	0	0
7227.FBpp0070001	7227.FBpp0073127	FBgn0031085	FBgn0035497	True		173	174	0	0
7227.FBpp0070001	7227.FBpp0085110	FBgn0031085		False	unmapped_B	229	230	0	0
7227.FBpp0070001	7227.FBpp0072880	FBgn0031085	FBgn0035380	True		467	467	0	0
7227.FBpp0070001	7227.FBpp0079066	FBgn0031085	FBgn0031905	True		224	224	0	0
7227.FBpp0070001	7227.FBpp0296941	FBgn0031085	FBgn0028880	True		237	237	0	0
7227.FBpp0070001	7227.FBpp0074974	FBgn0031085	FBgn0036703	True		273	273	0	0
7227.FBpp0070001	7227.FBpp0082100	FBgn0031085		False	unmapped_B	309	309	0	0
7227.FBpp0070001	7227.FBpp0079079	FBgn0031085	FBgn0031920	True		286	287	0	0
7227.FBpp0070001	7227.FBpp0077313	FBgn0031085		False	unmapped_B	229	230	0	0
7227.FBpp0070001	7227.FBpp0071789	FBgn0031085	FBgn0034774	True		150	151	0	0
7227.FBpp0070001	7227.FBpp0111285	FBgn0031085		False	unmapped_B	201	201	0	0
7227.FBpp0070001	7227.FBpp0076966	FBgn0031085	FBgn0031139	True		282	283	0	0
7227.FBpp0070001	7227.FBpp0080379	FBgn0031085	FBgn0028893	True		219	219	0	0
7227.FBpp0070001	7227.FBpp0074098	FBgn0031085	FBgn0052572	True		154	155	0	0
7227.FBpp0070001	7227.FBpp0075383	FBgn0031085	FBgn0047338	True		237	238	0	0
7227.FBpp0070001	7227.FBpp0086753	FBgn0031085	FBgn0033864	True		163	163	0	0
7227.FBpp0070001	7227.FBpp0077991	FBgn0031085	FBgn0037036	True		165	166	0	0
7227.FBpp0070001	7227.FBpp0077420	FBgn0031085	FBgn0031451	True		165	166	0	0
7227.FBpp0070001	7227.FBpp0080198	FBgn0031085	FBgn0028531	True		376	376	0	0
7227.FBpp0070001	7227.FBpp0311709	FBgn0031085	FBgn0033888	True		463	463	0	0
7227.FBpp0070001	7227.FBpp0084276	FBgn0031085		False	unmapped_B	375	375	0	0
7227.FBpp0070001	7227.FBpp0304212	FBgn0031085	FBgn0036162	True		410	411	0	0
7227.FBpp0070001	7227.FBpp0076108	FBgn0031085	FBgn0036014	True		507	507	0	0
7227.FBpp0070001	7227.FBpp0076978	FBgn0031085	FBgn0031134	True		242	243	0	0
7227.FBpp0070001	7227.FBpp0087785	FBgn0031085	FBgn0033323	True		254	254	0	0
7227.FBpp0070001	7227.FBpp0294018	FBgn0031085	FBgn0028848	True		311	311	0	0
7227.FBpp0070001	7227.FBpp0085666	FBgn0031085	FBgn0034461	True		323	323	0	0
7227.FBpp0070001	7227.FBpp0111266	FBgn0031085		False	unmapped_B	201	201	0	0
7227.FBpp0070001	7227.FBpp0307868	FBgn0031085	FBgn0033442	True		360	360	0	0
7227.FBpp0070001	7227.FBpp0083984	FBgn0031085		False	unmapped_B	175	175	0	0
7227.FBpp0070001	7227.FBpp0085996	FBgn0031085		False	unmapped_B	205	205	0	0
7227.FBpp0070001	7227.FBpp0111647	FBgn0031085	FBgn0250904	True		155	156	0	0
7227.FBpp0070001	7227.FBpp0307608	FBgn0031085	FBgn0032110	True		248	249	0	0
7227.FBpp0070001	7227.FBpp0076972	FBgn0031085	FBgn0031132	True		237	237	0	0
7227.FBpp0070001	7227.FBpp0310012	FBgn0031085		False	unmapped_B	163	163	0	0
7227.FBpp0070001	7227.FBpp0301888	FBgn0031085	FBgn0038934	True		204	204	0	0
7227.FBpp0070001	7227.FBpp0081147	FBgn0031085	FBgn0037464	True		203	203	0	0
7227.FBpp0070001	7227.FBpp0085636	FBgn0031085	FBgn0034472	True		645	645	0	0
7227.FBpp0070001	7227.FBpp0079215	FBgn0031085		False	unmapped_B	232	233	0	0
7227.FBpp0070001	7227.FBpp0071010	FBgn0031085		False	unmapped_B	199	199	0	0
7227.FBpp0070001	7227.FBpp0081203	FBgn0031085	FBgn0037454	True		361	361	0	0
7227.FBpp0070001	7227.FBpp0076969	FBgn0031085		False	unmapped_B	175	175	0	0
7227.FBpp0070001	7227.FBpp0080090	FBgn0031085		False	unmapped_B	229	230	0	0
7227.FBpp0070001	7227.FBpp0082365	FBgn0031085		False	unmapped_B	241	242	0	0
7227.FBpp0070001	7227.FBpp0298277	FBgn0031085	FBgn0015831	True		179	180	0	0
7227.FBpp0070001	7227.FBpp0271767	FBgn0031085		False	unmapped_B	358	358	0	0
7227.FBpp0070001	7227.FBpp0071546	FBgn0031085	FBgn0050393	True		216	216	0	0
7227.FBpp0070001	7227.FBpp0305449	FBgn0031085		False	unmapped_B	273	273	0	0
7227.FBpp0070001	7227.FBpp0081145	FBgn0031085	FBgn0037463	True		299	299	0	0
7227.FBpp0070001	7227.FBpp0304530	FBgn0031085		False	unmapped_B	239	240	0	0
7227.FBpp0070001	7227.FBpp0292109	FBgn0031085		False	unmapped_B	154	155	0	0
7227.FBpp0070001	7227.FBpp0083774	FBgn0031085	FBgn0039071	True		502	502	0	0
7227.FBpp0070001	7227.FBpp0071021	FBgn0031085	FBgn0029949	True		274	274	0	0
7227.FBpp0070001	7227.FBpp0077564	FBgn0031085	FBgn0051933	True		161	162	0	0
7227.FBpp0070001	7227.FBpp0089011	FBgn0031085	FBgn0053490	True		197	197	0	0
7227.FBpp0070001	7227.FBpp0309893	FBgn0031085	FBgn0050416	True		273	273	0	0
7227.FBpp0070001	7227.FBpp0074988	FBgn0031085	FBgn0036723	True		474	474	0	0
7227.FBpp0070001	7227.FBpp0086752	FBgn0031085	FBgn0033863	True		189	189	0	0
7227.FBpp0070001	7227.FBpp0290477	FBgn0031085		False	unmapped_B	204	204	0	0
