raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
YKL099C	S000001582	mapped	alias_bridge	STRING aliases bridge
YKL100C	S000001583	mapped	alias_bridge	STRING aliases bridge
YKL100W-A		unmapped	none	no evidence found
YKL101W	S000001584	mapped	alias_bridge	STRING aliases bridge
YKL102C		unmapped	none	no evidence found
YKL103C	S000001586	mapped	alias_bridge	STRING aliases bridge
YKL104C	S000001587	mapped	alias_bridge	STRING aliases bridge
YKL105C	S000001588	mapped	alias_bridge	STRING aliases bridge
YKL106C-A	S000007616	mapped	alias_bridge	STRING aliases bridge
YKL106W	S000001589	mapped	alias_bridge	STRING aliases bridge
YKL107W	S000001590	mapped	alias_bridge	STRING aliases bridge
YKL108W	S000001591	mapped	alias_bridge	STRING aliases bridge
YKL109W	S000001592	mapped	alias_bridge	STRING aliases bridge
YKL110C	S000001593	mapped	alias_bridge	STRING aliases bridge
YKL111C		unmapped	none	no evidence found
YKL112W	S000001595	mapped	alias_bridge	STRING aliases bridge
YKL113C	S000001596	mapped	alias_bridge	STRING aliases bridge
YKL114C	S000001597	mapped	alias_bridge	STRING aliases bridge
YKL115C		unmapped	none	no evidence found
YKL116C	S000001599	mapped	alias_bridge	STRING aliases bridge
YKL117W	S000001600	mapped	alias_bridge	STRING aliases bridge
YKL118W		unmapped	none	no evidence found
YKL119C	S000001602	mapped	alias_bridge	STRING aliases bridge
YKL120W	S000001603	mapped	alias_bridge	STRING aliases bridge
YKL121W	S000001604	mapped	alias_bridge	STRING aliases bridge
YKL122C	S000001605	mapped	alias_bridge	STRING aliases bridge
YKL123W		unmapped	none	no evidence found
YKL124W	S000001607	mapped	alias_bridge	STRING aliases bridge
YKL125W	S000001608	mapped	alias_bridge	STRING aliases bridge
YKL126W	S000001609	mapped	alias_bridge	STRING aliases bridge
YKL127W	S000001610	mapped	alias_bridge	STRING aliases bridge
YKL128C	S000001611	mapped	alias_bridge	STRING aliases bridge
YKL129C	S000001612	mapped	alias_bridge	STRING aliases bridge
YKL130C	S000001613	mapped	alias_bridge	STRING aliases bridge
YKL131W		unmapped	none	no evidence found
YKL132C	S000001615	mapped	alias_bridge	STRING aliases bridge
YKL133C	S000001616	mapped	alias_bridge	STRING aliases bridge
YKL134C	S000001617	mapped	alias_bridge	STRING aliases bridge
YKL135C	S000001618	mapped	alias_bridge	STRING aliases bridge
YKL136W		unmapped	none	no evidence found
YKL137W	S000001620	mapped	alias_bridge	STRING aliases bridge
YKL138C	S000001621	mapped	alias_bridge	STRING aliases bridge
YKL138C-A	S000028421	mapped	alias_bridge	STRING aliases bridge
YKL139W	S000001622	mapped	alias_bridge	STRING aliases bridge
YKL140W	S000001623	mapped	alias_bridge	STRING aliases bridge
YKL141W	S000001624	mapped	alias_bridge	STRING aliases bridge
YKL142W	S000001625	mapped	alias_bridge	STRING aliases bridge
YKL143W	S000001626	mapped	alias_bridge	STRING aliases bridge
YKL144C	S000001627	mapped	alias_bridge	STRING aliases bridge
YKL145W	S000001628	mapped	alias_bridge	STRING aliases bridge
YKL145W-A		unmapped	none	no evidence found
YKL146W	S000001629	mapped	alias_bridge	STRING aliases bridge
YKL147C		unmapped	none	no evidence found
YKL148C	S000001631	mapped	alias_bridge	STRING aliases bridge
YKL149C	S000001632	mapped	alias_bridge	STRING aliases bridge
YKL150W	S000001633	mapped	alias_bridge	STRING aliases bridge
YKL151C	S000001634	mapped	alias_bridge	STRING aliases bridge
YKL152C	S000001635	mapped	alias_bridge	STRING aliases bridge
YKL153W		unmapped	none	no evidence found
YKL154W	S000001637	mapped	alias_bridge	STRING aliases bridge
YKL155C	S000001638	mapped	alias_bridge	STRING aliases bridge
YKL156C-A		unmapped	none	no evidence found
YKL156W	S000001639	mapped	alias_bridge	STRING aliases bridge
YKL157W	S000001640	mapped	alias_bridge	STRING aliases bridge
YKL159C	S000001642	mapped	alias_bridge	STRING aliases bridge
YKL160W	S000001643	mapped	alias_bridge	STRING aliases bridge
YKL161C	S000001644	mapped	alias_bridge	STRING aliases bridge
YKL162C	S000001645	mapped	alias_bridge	STRING aliases bridge
YKL162C-A		unmapped	none	no evidence found
YKL163W	S000001646	mapped	alias_bridge	STRING aliases bridge
YKL164C	S000001647	mapped	alias_bridge	STRING aliases bridge
YKL165C	S000001648	mapped	alias_bridge	STRING aliases bridge
YKL165C-A		unmapped	none	no evidence found
YKL166C	S000001649	mapped	alias_bridge	STRING aliases bridge
YKL167C	S000001650	mapped	alias_bridge	STRING aliases bridge
YKL168C	S000001651	mapped	alias_bridge	STRING aliases bridge
YKL169C		unmapped	none	no evidence found
YKL170W	S000001653	mapped	alias_bridge	STRING aliases bridge
YKL171W	S000001654	mapped	alias_bridge	STRING aliases bridge
YKL172W	S000001655	mapped	alias_bridge	STRING aliases bridge
YKL173W	S000001656	mapped	alias_bridge	STRING aliases bridge
YKL174C	S000001657	mapped	alias_bridge	STRING aliases bridge
YKL175W	S000001658	mapped	alias_bridge	STRING aliases bridge
YKL176C	S000001659	mapped	alias_bridge	STRING aliases bridge
YKL177W		unmapped	none	no evidence found
YKL178C	S000001661	mapped	alias_bridge	STRING aliases bridge
YKL179C	S000001662	mapped	alias_bridge	STRING aliases bridge
YKL180W	S000001663	mapped	alias_bridge	STRING aliases bridge
YKL181W	S000001664	mapped	alias_bridge	STRING aliases bridge
YKL182W	S000001665	mapped	alias_bridge	STRING aliases bridge
YKL183C-A		unmapped	none	no evidence found
YKL183W	S000001666	mapped	alias_bridge	STRING aliases bridge
YKL184W	S000001667	mapped	alias_bridge	STRING aliases bridge
YKL185W	S000001668	mapped	alias_bridge	STRING aliases bridge
YKL186C	S000001669	mapped	alias_bridge	STRING aliases bridge
YKL187C	S000001670	mapped	alias_bridge	STRING aliases bridge
YKL188C	S000001671	mapped	alias_bridge	STRING aliases bridge
YKL189W	S000001672	mapped	alias_bridge	STRING aliases bridge
YKL190W	S000001673	mapped	alias_bridge	STRING aliases bridge
YKL191W	S000001674	mapped	alias_bridge	STRING aliases bridge
YKL192C	S000001675	mapped	alias_bridge	STRING aliases bridge
YKL193C	S000001676	mapped	alias_bridge	STRING aliases bridge
YKL194C	S000001677	mapped	alias_bridge	STRING aliases bridge
YKL195W	S000001678	mapped	alias_bridge	STRING aliases bridge
YKL196C	S000001679	mapped	alias_bridge	STRING aliases bridge
YKL197C	S000001680	mapped	alias_bridge	STRING aliases bridge
YKL198C	S000001681	mapped	alias_bridge	STRING aliases bridge
YKL201C	S000001684	mapped	alias_bridge	STRING aliases bridge
YKL202W		unmapped	none	no evidence found
YKL203C	S000001686	mapped	alias_bridge	STRING aliases bridge
YKL204W	S000001687	mapped	alias_bridge	STRING aliases bridge
YKL205W	S000001688	mapped	alias_bridge	STRING aliases bridge
YKL206C	S000001689	mapped	alias_bridge	STRING aliases bridge
YKL207W	S000001690	mapped	alias_bridge	STRING aliases bridge
YKL208W	S000001691	mapped	alias_bridge	STRING aliases bridge
YKL209C	S000001692	mapped	alias_bridge	STRING aliases bridge
YKL210W	S000001693	mapped	alias_bridge	STRING aliases bridge
YKL211C	S000001694	mapped	alias_bridge	STRING aliases bridge
YKL212W	S000001695	mapped	alias_bridge	STRING aliases bridge
YKL213C	S000001696	mapped	alias_bridge	STRING aliases bridge
YKL214C	S000001697	mapped	alias_bridge	STRING aliases bridge
YKL215C	S000001698	mapped	alias_bridge	STRING aliases bridge
YKL216W	S000001699	mapped	alias_bridge	STRING aliases bridge
YKL217W	S000001700	mapped	alias_bridge	STRING aliases bridge
YKL218C	S000001701	mapped	alias_bridge	STRING aliases bridge
YKL219W		unmapped	none	no evidence found
YKL220C	S000001703	mapped	alias_bridge	STRING aliases bridge
YKL221W	S000001704	mapped	alias_bridge	STRING aliases bridge
YKL222C	S000001705	mapped	alias_bridge	STRING aliases bridge
YKL223W		unmapped	none	no evidence found
YKL224C		unmapped	none	no evidence found
YKL225W		unmapped	none	no evidence found
YKR001C	S000001709	mapped	alias_bridge	STRING aliases bridge
YKR002W	S000001710	mapped	alias_bridge	STRING aliases bridge
YKR003W	S000001711	mapped	alias_bridge	STRING aliases bridge
YKR004C	S000001712	mapped	alias_bridge	STRING aliases bridge
YKR005C	S000001713	mapped	alias_bridge	STRING aliases bridge
YKR006C	S000001714	mapped	alias_bridge	STRING aliases bridge
YKR007W	S000001715	mapped	alias_bridge	STRING aliases bridge
YKR008W	S000001716	mapped	alias_bridge	STRING aliases bridge
YKR009C	S000001717	mapped	alias_bridge	STRING aliases bridge
YKR010C	S000001718	mapped	alias_bridge	STRING aliases bridge
YKR011C	S000001719	mapped	alias_bridge	STRING aliases bridge
YKR012C		unmapped	none	no evidence found
