Gene,Cytoplasm,Nucleus,Mitochondrion,Cell membrane,Cytoskeleton,Ribosome,Endoplasmic reticulum,Secreted,Vacuole,Peroxisome,Golgi,Endosome,Lysosome
S000001371,1,1,1,1,1,1,1,1,1,1,1,1,1
S000001143,1,1,0,1,1,0,1,1,1,1,1,1,1
S000028509,1,1,1,0,0,0,0,0,0,0,0,0,0
S000006111,1,1,1,1,1,1,1,1,0,1,0,0,0
S000003330,1,1,1,1,1,1,1,1,1,1,0,0,1
S000000510,1,1,1,1,0,0,1,1,1,0,1,1,0
S000002716,1,1,0,1,1,0,0,0,0,0,0,0,0
S000001049,1,1,1,1,1,1,1,1,1,1,1,1,1
S000001114,1,1,1,1,1,1,1,1,1,1,1,1,0
S000002781,1,1,1,1,1,0,1,1,1,0,1,1,1
S000005202,1,1,1,1,1,0,1,1,1,1,1,1,1
S000005788,1,1,0,0,1,1,0,0,0,1,0,0,0
S000005798,1,1,1,1,1,1,0,0,1,0,0,0,0
S000006311,1,1,1,1,1,0,0,1,0,0,0,0,0
S000001855,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003404,1,1,1,1,1,0,1,1,1,1,1,1,1
S000002835,1,1,1,1,1,1,1,1,1,0,0,1,1
S000001856,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003730,1,1,1,1,1,1,1,1,1,1,0,0,1
S000001062,1,1,1,1,1,1,0,1,1,1,0,0,1
S000004903,1,1,1,0,0,1,0,0,0,0,0,0,0
S000004117,1,1,0,1,1,0,1,0,0,0,0,0,0
S000002571,1,1,1,1,1,1,1,1,1,1,1,1,1
S000006379,1,1,1,0,1,1,0,0,0,0,0,0,0
S000006043,1,1,1,1,1,0,1,0,0,1,0,0,0
S000004068,1,1,1,1,1,0,1,1,1,0,1,1,1
S000006307,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004035,1,1,0,1,1,0,0,0,0,0,0,0,0
S000002575,1,1,1,1,1,1,1,1,1,0,1,1,1
S000001525,1,1,1,1,1,1,1,0,1,0,1,1,0
S000004564,1,1,1,0,0,1,1,0,0,0,0,0,0
S000005206,1,1,1,1,1,1,0,1,1,0,0,0,0
S000003586,1,1,1,1,1,1,1,1,0,0,0,0,0
S000004557,1,1,1,1,0,1,1,1,1,0,1,0,1
S000000291,1,1,0,0,1,0,0,0,1,0,0,0,0
S000001239,1,1,1,1,0,1,0,0,0,0,0,0,0
S000000761,1,1,1,0,0,0,0,0,0,1,0,0,0
S000001007,1,1,1,1,1,1,1,1,1,0,0,0,1
S000005648,1,1,1,1,1,1,1,1,1,0,1,1,1
S000006047,1,1,1,0,1,1,0,0,0,1,0,0,0
S000003954,1,1,1,1,1,0,1,1,1,1,1,0,0
S000001149,1,1,1,1,1,1,1,1,1,1,1,1,1
S000006347,1,1,0,0,0,1,0,0,0,0,0,0,0
S000001368,1,1,1,1,1,0,1,1,0,0,0,0,0
S000001889,1,1,1,1,1,1,1,1,1,1,1,1,1
S000000032,1,1,0,0,1,0,0,0,0,0,0,0,0
S000000146,1,1,1,1,1,0,1,1,1,0,1,1,1
S000000292,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004096,1,1,1,1,1,1,1,1,0,1,1,0,0
S000006382,1,1,1,1,1,1,1,1,1,0,0,1,0
S000002976,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002420,1,1,0,1,1,0,0,1,0,0,0,0,0
S000001608,1,1,1,1,1,1,1,1,1,1,1,1,0
S000003029,1,1,0,1,1,0,0,0,0,0,0,0,0
S000004607,1,1,1,1,1,1,0,1,0,0,0,0,0
S000001065,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004931,1,1,1,1,1,1,1,1,1,0,1,0,0
S000006138,1,1,1,1,1,1,0,0,0,0,0,0,0
S000003959,1,1,1,0,1,1,0,1,1,0,0,0,1
S000006152,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002761,1,1,1,1,1,1,1,1,1,1,0,1,1
S000003033,1,1,1,1,1,0,1,1,0,1,1,0,1
S000005546,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003098,1,1,1,1,1,1,1,1,0,0,0,1,0
S000003084,1,1,1,1,1,1,1,1,1,0,0,1,1
S000000959,1,1,1,1,1,0,1,1,1,0,1,1,1
S000004056,1,1,0,1,0,0,1,1,1,0,1,0,0
S000001449,1,1,0,0,1,1,0,0,0,0,0,0,0
S000000314,1,1,1,1,1,1,1,1,1,0,1,1,1
S000004599,1,1,1,1,1,1,1,1,1,1,1,1,1
S000000438,1,1,1,1,1,0,0,1,1,0,0,0,1
S000002719,1,1,1,1,1,1,1,0,0,0,0,0,0
S000004339,1,1,1,1,1,1,1,0,1,0,0,0,0
S000004824,1,1,1,0,1,0,0,0,1,0,1,0,0
S000006229,1,1,1,1,1,0,0,1,1,0,0,0,0
S000005189,1,1,1,0,0,1,0,1,0,0,0,0,0
S000000469,1,1,1,1,0,0,1,1,1,1,1,1,1
S000004213,1,1,1,1,1,1,1,1,1,0,0,1,1
S000003043,1,1,1,1,1,1,1,1,0,1,0,0,0
S000005057,1,1,0,1,1,1,0,0,1,1,0,1,0
S000003379,1,1,1,1,1,0,1,0,0,0,1,0,0
S000004603,1,1,1,1,1,1,1,1,1,0,1,0,0
S000002619,1,1,1,1,1,1,0,0,1,1,1,0,0
S000004315,1,1,1,0,1,0,0,0,0,0,0,0,0
S000003777,1,1,1,1,1,1,1,1,1,1,1,0,0
S000000295,1,1,1,1,1,1,1,0,0,0,0,0,0
S000001925,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002588,1,1,0,0,1,0,0,0,0,1,0,0,0
S000006214,1,1,1,1,1,1,0,0,0,1,0,0,0
S000003139,1,1,1,1,1,1,0,1,0,0,0,0,0
S000003041,1,1,1,1,1,1,1,1,1,1,1,1,1
S000001865,1,1,1,1,1,0,1,1,0,0,0,0,0
S000004306,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003088,1,1,1,1,1,1,1,1,0,0,1,0,0
S000001461,1,1,1,1,1,1,1,1,1,1,1,1,1
S000005047,1,1,1,1,1,1,1,1,1,1,0,1,1
S000003999,1,1,1,0,1,1,0,0,0,0,0,0,0
S000000728,1,1,1,1,0,1,1,1,1,0,1,0,0
S000003036,1,1,1,1,0,1,0,1,0,0,0,0,0
S000000072,1,1,1,1,1,1,1,1,1,1,0,1,0
S000005394,1,1,1,1,1,1,1,1,0,0,0,0,0
S000005495,1,1,1,1,1,1,0,0,0,0,0,0,0
S000001938,1,1,1,1,0,1,1,1,1,0,0,0,0
S000003510,1,1,1,1,1,1,0,0,0,1,0,0,0
S000002769,1,1,1,1,1,1,0,1,0,0,1,0,0
S000001746,1,1,1,1,1,1,1,1,1,1,0,0,0
S000005257,1,1,1,1,0,0,0,0,0,0,0,0,0
S000004198,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003703,1,1,1,1,1,1,1,1,1,1,1,1,0
S000003995,1,1,1,1,1,0,1,0,0,0,0,0,0
S000002452,1,1,1,1,1,1,0,0,0,1,0,0,0
S000003352,1,1,0,1,1,0,1,1,1,0,1,1,1
S000004881,1,1,0,1,1,1,0,0,0,0,0,0,0
S000002367,1,1,1,1,1,1,1,1,0,0,0,0,0
S000004952,1,1,1,1,1,1,1,1,1,1,0,1,1
S000004187,1,1,1,1,1,1,1,1,1,1,1,0,0
S000004119,1,1,1,0,1,1,0,0,0,1,1,0,0
S000001605,1,1,1,1,0,1,1,0,0,0,0,0,0
S000006348,1,1,1,1,1,1,0,0,1,1,0,0,0
S000006154,1,1,0,0,1,0,0,0,0,0,0,0,0
S000000935,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003570,1,1,1,1,1,1,0,0,0,0,0,0,0
S000001345,1,1,1,1,0,0,0,1,1,1,0,0,0
S000003443,1,1,1,1,1,1,1,1,1,0,1,0,0
S000003096,1,1,1,1,0,1,1,0,0,0,0,0,0
S000001770,1,1,1,1,1,1,0,1,0,0,0,0,0
S000003849,1,1,1,1,1,0,0,1,1,1,0,0,0
S000005804,1,1,1,1,1,0,1,1,1,1,0,1,1
S000002749,1,1,1,1,1,1,1,1,1,1,0,0,0
S000005483,1,1,1,1,1,1,0,0,0,0,1,0,0
S000006245,1,1,1,1,1,1,1,1,1,0,0,0,1
S000005056,1,1,1,1,0,1,0,1,0,1,0,0,0
S000006290,1,1,1,1,1,1,1,1,1,1,0,0,1
S000000170,1,1,0,1,1,0,0,0,0,0,0,0,0
S000000131,1,1,1,1,1,0,0,0,0,0,1,0,0
S000003542,1,1,1,1,1,1,1,1,1,1,1,1,1
S000001656,1,1,1,1,1,1,0,1,0,0,0,0,0
S000002939,1,1,1,1,0,1,0,1,0,1,0,0,0
S000002201,1,1,1,1,1,1,0,0,0,0,0,0,0
S000000752,1,1,1,1,1,1,0,1,0,0,0,0,0
S000001516,1,1,1,1,1,1,1,1,1,1,0,1,1
S000003563,1,1,1,1,1,1,1,1,1,1,1,0,0
S000001111,1,1,1,0,1,1,0,1,0,1,0,0,0
S000004719,1,1,1,0,0,1,0,0,0,0,0,0,0
S000005933,1,1,0,1,1,1,0,0,0,0,0,0,0
S000005899,1,1,1,1,1,1,0,0,1,0,0,0,0
S000006289,1,1,1,0,0,1,0,0,0,1,0,0,0
S000000557,1,1,1,1,0,0,1,1,1,1,1,0,0
S000001061,1,1,1,0,0,1,0,1,0,0,0,0,0
S000003633,1,1,1,1,0,0,1,1,1,1,1,1,1
S000005046,1,1,1,1,1,1,0,1,0,0,0,0,0
S000005685,1,1,1,1,1,1,0,1,0,0,0,0,0
S000004000,1,1,1,0,1,0,0,0,0,0,0,0,0
S000004065,1,1,1,1,1,1,1,1,1,0,0,0,0
S000001127,1,1,0,0,0,1,0,0,0,0,0,0,0
S000000914,1,1,1,1,1,1,1,1,1,0,0,0,0
S000001313,1,1,1,1,0,1,0,1,0,1,0,0,0
S000006316,1,1,0,0,0,1,0,0,0,0,0,0,0
S000000344,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003322,1,1,1,1,1,1,0,1,0,0,0,0,0
S000001353,1,1,0,0,1,1,0,0,0,0,0,0,0
S000003080,1,1,1,1,1,1,1,0,1,0,0,0,0
S000005294,1,1,1,1,1,1,1,1,1,1,0,1,0
S000003926,1,1,1,1,1,0,1,0,1,0,0,0,0
S000003202,1,1,1,1,1,0,1,1,1,1,1,1,1
S000004485,1,1,0,1,1,1,1,0,0,1,1,0,0
S000000136,1,1,1,1,1,1,1,1,1,0,1,1,1
S000003175,1,1,1,1,1,1,1,1,0,0,0,0,0
S000004266,1,1,1,1,0,1,0,0,0,0,0,0,0
S000001716,1,1,1,1,1,1,1,0,0,0,0,0,0
S000003608,1,1,0,0,1,0,0,0,0,0,0,0,0
S000001663,1,1,1,1,0,1,1,1,1,0,0,0,0
S000001144,1,1,1,1,1,0,0,1,1,0,0,1,1
S000005574,1,1,1,1,1,1,1,1,1,0,0,0,0
S000006064,1,1,1,0,0,1,0,0,0,1,0,0,0
S000000001,1,1,1,1,1,1,0,0,0,0,0,0,0
S000001948,1,1,1,1,1,1,1,1,1,0,0,1,1
S000000805,1,1,1,1,1,1,1,1,0,1,1,0,0
S000005252,1,1,1,0,0,1,1,0,0,0,0,0,0
S000000441,1,1,1,0,0,1,1,0,0,0,0,0,0
S000002812,1,1,1,1,1,1,1,1,0,0,0,0,0
S000004249,1,1,1,1,1,1,1,1,1,1,1,1,1
S000005176,1,1,1,1,1,1,1,1,0,0,0,0,0
S000005863,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002979,1,1,1,1,1,1,1,1,1,0,1,0,0
S000004684,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003547,1,1,1,0,1,1,0,0,0,0,0,0,0
S000001497,1,1,0,1,0,1,0,0,0,0,1,0,0
S000001543,1,1,1,1,1,1,1,1,1,1,1,1,1
S000004050,1,1,1,1,0,1,0,1,0,0,0,0,0
S000002732,1,1,1,1,0,1,0,0,0,1,1,0,0
S000005400,1,1,1,1,1,1,1,1,0,0,1,0,0
S000001284,1,1,1,1,1,1,1,1,1,1,0,0,0
S000002255,1,1,1,1,1,1,1,1,1,0,1,0,1
S000000810,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002567,1,1,1,1,1,1,1,1,1,1,1,1,1
S000001447,1,1,1,1,1,0,0,1,1,1,1,0,0
S000001511,1,1,1,1,1,1,1,0,1,0,1,0,1
S000001377,1,1,1,1,1,1,1,0,1,1,1,1,1
S000006003,1,1,1,1,1,1,1,1,1,0,0,0,0
S000006314,1,1,0,0,0,1,0,1,0,0,0,0,0
S000002325,1,1,1,1,1,1,0,1,0,1,0,0,0
S000000895,1,1,1,1,1,1,1,1,1,1,1,1,1
S000002525,1,1,0,1,1,1,1,0,0,1,0,0,0
S000002162,1,1,1,1,1,1,0,1,1,0,0,0,0
S000004284,1,1,1,1,1,1,1,1,1,0,1,1,0
S000000114,1,1,1,0,1,1,0,0,0,1,0,0,0
S000005231,1,1,1,1,1,1,1,1,1,0,1,1,1
S000001208,1,1,1,1,1,1,0,1,1,1,0,0,0
S000004573,1,1,1,1,0,1,1,1,1,1,1,0,0
S000000823,1,1,1,1,1,1,1,1,1,0,0,0,1
S000000781,1,1,1,1,0,1,0,1,0,0,0,0,0
S000001679,1,1,1,1,1,1,1,1,1,1,1,1,1
S000006038,1,1,1,1,0,1,1,1,1,1,1,0,0
S000001116,1,1,1,1,1,1,1,1,1,1,0,0,0
S000003837,1,1,1,1,1,1,1,1,1,0,1,1,1
S000002643,1,1,1,0,0,1,0,0,0,1,0,0,0
S000003825,1,1,1,1,1,1,1,1,1,0,0,0,1
S000002290,1,1,1,1,1,1,1,1,1,1,1,1,1
S000003314,1,1,1,1,1,1,1,1,1,1,1,1,1
S000005984,1,1,1,1,1,1,1,1,1,1,0,1,1
S000004012,1,1,1,1,1,1,0,0,1,0,0,0,1
S000003499,1,1,1,1,1,0,0,1,1,1,1,0,1
S000002845,1,1,1,1,0,0,1,1,0,0,1,0,0
S000000264,1,1,1,0,1,1,0,0,0,0,0,0,0
S000003315,1,1,1,1,1,1,0,0,0,0,0,0,0
S000005250,1,1,1,0,0,1,0,0,1,0,0,0,0
S000005427,1,1,1,1,1,1,1,1,0,0,0,0,0
S000002733,1,1,0,1,1,1,0,0,0,0,0,0,0
S000001571,1,1,1,1,0,1,1,0,0,1,0,0,0
S000000065,1,1,1,1,1,1,0,1,1,1,0,0,0
S000001082,1,1,0,0,0,0,0,0,0,0,0,0,0
S000001209,1,1,1,1,1,0,0,1,0,1,0,0,0
S000001185,1,1,1,1,1,1,0,0,0,1,0,0,0
S000003873,1,1,1,1,1,0,0,0,0,0,0,0,0
S000005782,1,1,1,1,1,0,1,1,1,0,1,1,1
