Target	Species	Regime	Model	Feature_Setting	Label_Regime	Split_Version	Runs	Seed_List	AUROC_mean	AUROC_std	AUPRC_mean	AUPRC_std	MCC_mean	MCC_std	F1_mean	F1_std	Precision_mean	Precision_std	Recall_mean	Recall_std	Specificity_mean	Specificity_std
fgraminearum	fgraminearum	newlabel	GCN	ORT_EXP	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.749242409092424	0.004197431476726337	0.2431556883895257	0.013876677881664329	0.21929142687647762	0.01109518161996607	0.27645081216624007	0.016448562447691755	0.1692255237879244	0.01759449420102337	0.7835616438356164	0.08247541117717361	0.580632603406326	0.08359717764270805
fgraminearum	fgraminearum	newlabel	GCN	ORT_EXP_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7592629625926296	0.002815024107822743	0.2522658527595093	0.012851249085869298	0.2237056915194488	0.004848967960563436	0.2717666886741847	0.004359796628467685	0.16194493098126686	0.003595992470575953	0.845662100456621	0.019671834911906855	0.5331386861313868	0.02159092885467569
fgraminearum	fgraminearum	newlabel	GCN	ORT_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7445395460453954	0.004361067179258163	0.23485802860746477	0.015026734242183832	0.21337512631212435	0.029777472005552495	0.28278254230286587	0.027037469742409503	0.1846675536804967	0.02959620126930367	0.6721461187214611	0.1421668800396084	0.6642335766423357	0.11695284437514382
fgraminearum	fgraminearum	newlabel	GCN	SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.7501449855014498	0.00477702104943732	0.24748972267592428	0.015391051548340001	0.21056020609324677	0.004875116757667013	0.27227614199933897	0.004891953521907158	0.16568774469337977	0.004776012672027555	0.7662100456621004	0.03142401924033836	0.5879318734793187	0.029753656940772033
fgraminearum	fgraminearum	newlabel	GIN	EXP	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8294981612949816	0.018839249667832993	0.37744301927749724	0.019724323654535466	0.33611629795173836	0.0255987701004331	0.3784536356710174	0.016725883623705206	0.2533913140543571	0.011376303077333776	0.7497716894977169	0.05398179618678229	0.7643795620437956	0.016975646606649266
fgraminearum	fgraminearum	newlabel	GIN	EXP_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8470904020709039	0.0029617636341379753	0.4271034784998414	0.005355767338615676	0.372381636537945	0.006548397355950583	0.4076384210345306	0.008106485572323041	0.2761229463218241	0.008998748020432058	0.7799086757990867	0.01643835616438355	0.7816058394160584	0.014165181818908208
fgraminearum	fgraminearum	newlabel	GIN	ORT	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8482256218822561	0.011068552927361135	0.4304157937086652	0.024500878029265247	0.38152995484988644	0.023198760147123777	0.4183491006001755	0.023459838046831806	0.28794631723910447	0.0234644070288766	0.7698630136986301	0.015712009620169182	0.7948418491484184	0.026826028518714243
fgraminearum	fgraminearum	newlabel	GIN	ORT_EXP	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.852558299725583	0.008285383224764142	0.43379327527288253	0.008777802272378893	0.39683901502236524	0.015865809213197742	0.43859951459746044	0.020989385637251612	0.3168557042301918	0.03549569960847509	0.7305936073059359	0.05861847136394963	0.8275425790754258	0.035563221034800176
fgraminearum	fgraminearum	newlabel	GIN	ORT_EXP_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8464604650646047	0.006479742868978757	0.42741715494192256	0.016988366418247452	0.3837382468119953	0.029098645374092437	0.4243324251463558	0.03493493756513022	0.3000327235810719	0.04188776306270562	0.7452054794520547	0.04713602886050754	0.8072992700729926	0.049360434995091663
fgraminearum	fgraminearum	newlabel	GIN	ORT_SUB	newlabel	frozen_protocol_v1_seed20260409_test20_val10	5	1029,1030,1031,1032,1033	0.8490819806908199	0.006998630842132389	0.4462153402556014	0.02135876793819362	0.378558011028609	0.04256322878863161	0.4168367546375169	0.052015110898200864	0.29639054188685837	0.06439081029826063	0.7579908675799086	0.08330048767847582	0.7882238442822385	0.08441182869482175
