raw_probe_id	mapped_gene_id	mapping_status	mapping_method
FGRAMPH1_01G03305	FGRAMPH1_01G03305	mapped	direct_gene_id
FGRAMPH1_01G24699	FGRAMPH1_01G24699	mapped	direct_gene_id
FGRAMPH1_01G10701	FGRAMPH1_01G10701	mapped	direct_gene_id
FGRAMPH1_01G18539	FGRAMPH1_01G18539	mapped	direct_gene_id
FGRAMPH1_01G16951	FGRAMPH1_01G16951	mapped	direct_gene_id
FGRAMPH1_01G05527	FGRAMPH1_01G05527	mapped	direct_gene_id
FGRAMPH1_01G10937	FGRAMPH1_01G10937	mapped	direct_gene_id
FGRAMPH1_01G23015	FGRAMPH1_01G23015	mapped	direct_gene_id
FGRAMPH1_01G14563	FGRAMPH1_01G14563	mapped	direct_gene_id
FGRAMPH1_01G20325	FGRAMPH1_01G20325	mapped	direct_gene_id
FGRAMPH1_01G07553	FGRAMPH1_01G07553	mapped	direct_gene_id
FGRAMPH1_01G09441	FGRAMPH1_01G09441	mapped	direct_gene_id
FGRAMPH1_01G22349	FGRAMPH1_01G22349	mapped	direct_gene_id
FGRAMPH1_01G23891	FGRAMPH1_01G23891	mapped	direct_gene_id
FGRAMPH1_01G25775	FGRAMPH1_01G25775	mapped	direct_gene_id
FGRAMPH1_01G02317	FGRAMPH1_01G02317	mapped	direct_gene_id
FGRAMPH1_01G20703	FGRAMPH1_01G20703	mapped	direct_gene_id
FGRAMPH1_01G23029	FGRAMPH1_01G23029	mapped	direct_gene_id
FGRAMPH1_01G16355	FGRAMPH1_01G16355	mapped	direct_gene_id
FGRAMPH1_01G02145	FGRAMPH1_01G02145	mapped	direct_gene_id
FGRAMPH1_01G06175	FGRAMPH1_01G06175	mapped	direct_gene_id
FGRAMPH1_01G10773	FGRAMPH1_01G10773	mapped	direct_gene_id
FGRAMPH1_01G08095	FGRAMPH1_01G08095	mapped	direct_gene_id
FGRAMPH1_01G21351	FGRAMPH1_01G21351	mapped	direct_gene_id
FGRAMPH1_01G20855	FGRAMPH1_01G20855	mapped	direct_gene_id
FGRAMPH1_01G09755	FGRAMPH1_01G09755	mapped	direct_gene_id
FGRAMPH1_01G02887	FGRAMPH1_01G02887	mapped	direct_gene_id
FGRAMPH1_01G22559	FGRAMPH1_01G22559	mapped	direct_gene_id
FGRAMPH1_01G15393	FGRAMPH1_01G15393	mapped	direct_gene_id
FGRAMPH1_01G19911	FGRAMPH1_01G19911	mapped	direct_gene_id
FGRAMPH1_01G10169	FGRAMPH1_01G10169	mapped	direct_gene_id
FGRAMPH1_01G06963	FGRAMPH1_01G06963	mapped	direct_gene_id
FGRAMPH1_01G01127	FGRAMPH1_01G01127	mapped	direct_gene_id
FGRAMPH1_01G20331	FGRAMPH1_01G20331	mapped	direct_gene_id
FGRAMPH1_01G23225	FGRAMPH1_01G23225	mapped	direct_gene_id
FGRAMPH1_01G23525	FGRAMPH1_01G23525	mapped	direct_gene_id
FGRAMPH1_01G00405	FGRAMPH1_01G00405	mapped	direct_gene_id
FGRAMPH1_01G17755	FGRAMPH1_01G17755	mapped	direct_gene_id
FGRAMPH1_01G05009	FGRAMPH1_01G05009	mapped	direct_gene_id
FGRAMPH1_01G16399	FGRAMPH1_01G16399	mapped	direct_gene_id
FGRAMPH1_01G23995	FGRAMPH1_01G23995	mapped	direct_gene_id
FGRAMPH1_01G09851	FGRAMPH1_01G09851	mapped	direct_gene_id
FGRAMPH1_01G01673	FGRAMPH1_01G01673	mapped	direct_gene_id
FGRAMPH1_01G04123	FGRAMPH1_01G04123	mapped	direct_gene_id
FGRAMPH1_01G05061	FGRAMPH1_01G05061	mapped	direct_gene_id
FGRAMPH1_01G20049	FGRAMPH1_01G20049	mapped	direct_gene_id
FGRAMPH1_01G11691	FGRAMPH1_01G11691	mapped	direct_gene_id
FGRAMPH1_01G23285	FGRAMPH1_01G23285	mapped	direct_gene_id
FGRAMPH1_01G16669	FGRAMPH1_01G16669	mapped	direct_gene_id
FGRAMPH1_01G17153	FGRAMPH1_01G17153	mapped	direct_gene_id
