Target	Species	Regime	Model	Feature_Setting	Label_Regime	Split_Version	Run_ID	Seed	AUPRC	MCC	Metrics_Path
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1029	1029	0.6514705113639097	0.4813681845100341	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_ESM2/run_1029/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1030	1030	0.612006911114145	0.4368406041806072	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_ESM2/run_1030/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1031	1031	0.5571863572592612	0.3594252412743219	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_ESM2/run_1031/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1032	1032	0.5624313190823604	0.3581268127051991	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_ESM2/run_1032/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1033	1033	0.5625709218718857	0.4101113547230994	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_ESM2/run_1033/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1029	1029	0.6495361009451267	0.4449671240168701	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB/run_1029/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1030	1030	0.6376510135070795	0.4515893807016773	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB/run_1030/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1031	1031	0.6268445641647102	0.433320668070307	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB/run_1031/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1032	1032	0.629242528746617	0.4502135532240885	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB/run_1032/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1033	1033	0.6428141441484284	0.4477773381805679	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB/run_1033/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1029	1029	0.6648790299911832	0.5000935453502413	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB_ESM2/run_1029/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1030	1030	0.6830542031737488	0.5418784407441645	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB_ESM2/run_1030/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1031	1031	0.6758060202321905	0.4984390656746152	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB_ESM2/run_1031/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1032	1032	0.6657723323623558	0.5002918232413893	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB_ESM2/run_1032/metrics.tsv
scerevisiae	scerevisiae	standard	GraphSAGE	ORT_EXP_SUB_ESM2	standard	frozen_protocol_v1_seed20260409_test20_val10	seed_1033	1033	0.6694524691114797	0.5153174487977039	/home/jiehuang/software/fungi/ProGATE_v2/outputs/Figure3a/scerevisiae/GraphSAGE/ORT_EXP_SUB_ESM2/run_1033/metrics.tsv
