node_id	species	protocol	label	split	seed	baseline_pred_label	esm2_pred_label	baseline_pred_score	esm2_pred_score	transition	transition_display
FGRAMPH1_01G00459	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1883511543273925	2.090182540936958e-11	TN_stable	TN_stable
FGRAMPH1_01G00465	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.8440853357315063	0.7873694896697998	TP_stable	TP_stable
FGRAMPH1_01G00467	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1916110962629318	4.9752832062544e-12	TN_stable	TN_stable
FGRAMPH1_01G00473	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0248060654848814	2.9011778678977865e-05	TN_stable	TN_stable
FGRAMPH1_01G00505	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.6158192753791809	0.0001535227202111	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G00523	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0205340068787336	5.411048391579243e-07	TN_stable	TN_stable
FGRAMPH1_01G00533	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0179727971553802	6.1711640027493064e-18	TN_stable	TN_stable
FGRAMPH1_01G00559	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.3011744618415832	9.990532012782437e-11	TN_stable	TN_stable
FGRAMPH1_01G00563	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0321067012846469	6.879824923089473e-07	TN_stable	TN_stable
FGRAMPH1_01G00573	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0614463239908218	2.502439144791424e-07	TN_stable	TN_stable
FGRAMPH1_01G00597	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.00482441438362	0.0005553401424549	TN_stable	TN_stable
FGRAMPH1_01G00613	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0082131335511803	7.564307562655137e-16	TN_stable	TN_stable
FGRAMPH1_01G00619	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0334701538085937	3.4048419195187314e-08	TN_stable	TN_stable
FGRAMPH1_01G00637	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0006321456166915	1.444135477868258e-07	TN_stable	TN_stable
FGRAMPH1_01G00657	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2868397831916809	0.0002339825150556	TN_stable	TN_stable
FGRAMPH1_01G00667	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2011275589466095	1.5930837662381236e-06	TN_stable	TN_stable
FGRAMPH1_01G00675	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0015085958875715	2.567254114183015e-06	TN_stable	TN_stable
FGRAMPH1_01G00691	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2849420011043548	9.069257345117876e-09	TN_stable	TN_stable
FGRAMPH1_01G00693	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0609404519200325	6.945379027456511e-06	TN_stable	TN_stable
FGRAMPH1_01G00697	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2605142891407013	5.8388486934291e-08	TN_stable	TN_stable
FGRAMPH1_01G00699	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0	3.025105008797868e-36	TN_stable	TN_stable
FGRAMPH1_01G00705	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0127123147249221	0.2946089804172516	TN_stable	TN_stable
FGRAMPH1_01G00707	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.769101619720459	0.5616232752799988	FP_persistent	persistent_FP
FGRAMPH1_01G00721	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9463589191436768	0.9374240040779114	TP_stable	TP_stable
FGRAMPH1_01G00737	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0295463316142559	3.1574525302278603e-14	TN_stable	TN_stable
FGRAMPH1_01G00741	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0223097242414951	7.708992052357644e-05	TN_stable	TN_stable
FGRAMPH1_01G00743	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.7929257154464722	0.551692008972168	FP_persistent	persistent_FP
FGRAMPH1_01G00771	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9450904726982116	0.615267813205719	TP_stable	TP_stable
FGRAMPH1_01G00787	fgraminearum	fgraminearum_newlabel	1	test	1029	0	0	0.1155233159661293	0.0027052126824855	FN_persistent	persistent_FN
FGRAMPH1_01G00789	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0489765964448452	1.998367770283949e-05	TN_stable	TN_stable
FGRAMPH1_01G00803	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.8109503984451294	0.7279659509658813	FP_persistent	persistent_FP
FGRAMPH1_01G00845	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.4126757383346557	0.1635630279779434	TN_stable	TN_stable
FGRAMPH1_01G00863	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.939813196659088	0.9099472165107728	TP_stable	TP_stable
FGRAMPH1_01G00875	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.9154995679855348	0.0888767689466476	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G00885	fgraminearum	fgraminearum_newlabel	1	test	1029	0	0	0.0290049742907285	2.299424886587076e-05	FN_persistent	persistent_FN
FGRAMPH1_01G00891	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.119084320962429	7.790204028731984e-13	TN_stable	TN_stable
FGRAMPH1_01G00899	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0091990819200873	0.0002671955735422	TN_stable	TN_stable
FGRAMPH1_01G00907	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0301504991948604	1.1986068892646433e-15	TN_stable	TN_stable
FGRAMPH1_01G00921	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2960456609725952	1.126751492108724e-08	TN_stable	TN_stable
FGRAMPH1_01G00923	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.5963054895401001	0.3696268200874328	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G00927	fgraminearum	fgraminearum_newlabel	1	test	1029	1	0	0.7347172498703003	0.3696090281009674	TP_to_FN_regressed	TP_to_FN_regressed
FGRAMPH1_01G00931	fgraminearum	fgraminearum_newlabel	1	test	1029	1	0	0.5027300119400024	0.4736504852771759	TP_to_FN_regressed	TP_to_FN_regressed
FGRAMPH1_01G00939	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.821687638759613	0.9153401255607604	FP_persistent	persistent_FP
FGRAMPH1_01G00945	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9096065163612366	0.9837682843208312	TP_stable	TP_stable
FGRAMPH1_01G00971	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.3600983619689941	0.0111988689750432	TN_stable	TN_stable
FGRAMPH1_01G00975	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0082087805494666	6.545685327924021e-17	TN_stable	TN_stable
FGRAMPH1_01G00979	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.8250089287757874	0.8678669929504395	TP_stable	TP_stable
FGRAMPH1_01G00983	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9552292227745056	0.9907461404800416	TP_stable	TP_stable
FGRAMPH1_01G00999	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.3875012397766113	0.0950861424207687	TN_stable	TN_stable
FGRAMPH1_01G01001	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0870735496282577	6.338505675190786e-12	TN_stable	TN_stable
FGRAMPH1_01G01025	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0284865126013755	4.2091238941542944e-14	TN_stable	TN_stable
FGRAMPH1_01G01029	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0719021409749984	0.0085713639855384	TN_stable	TN_stable
FGRAMPH1_01G01035	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0265105385333299	7.273784981449982e-13	TN_stable	TN_stable
FGRAMPH1_01G01041	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.002981879049912	0.0167816653847694	TN_stable	TN_stable
FGRAMPH1_01G01055	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0506336726248264	9.94188574103853e-15	TN_stable	TN_stable
FGRAMPH1_01G01069	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.3735480308532715	0.8980354070663452	TN_to_FP_regressed	TN_to_FP_regressed
FGRAMPH1_01G01087	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.8750678896903992	0.6656200885772705	FP_persistent	persistent_FP
FGRAMPH1_01G01089	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0694913864135742	0.0002181122399633	TN_stable	TN_stable
FGRAMPH1_01G01103	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.305643767118454	9.843815216084573e-13	TN_stable	TN_stable
FGRAMPH1_01G01123	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0868604406714439	8.09343708046452e-14	TN_stable	TN_stable
FGRAMPH1_01G01145	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.4999784827232361	4.106559572392143e-05	TN_stable	TN_stable
FGRAMPH1_01G01163	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.939512014389038	0.9778041243553162	TP_stable	TP_stable
FGRAMPH1_01G01165	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.3130652010440826	6.4585578911646735e-06	TN_stable	TN_stable
FGRAMPH1_01G01179	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.3143000602722168	1.95508693678903e-08	TN_stable	TN_stable
FGRAMPH1_01G01187	fgraminearum	fgraminearum_newlabel	0	test	1029	1	1	0.8575646281242371	0.7205585241317749	FP_persistent	persistent_FP
FGRAMPH1_01G01209	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.1413546055555343	3.5736528319896266e-11	TN_stable	TN_stable
FGRAMPH1_01G01211	fgraminearum	fgraminearum_newlabel	0	test	1029	1	0	0.6894891858100891	0.2635282874107361	FP_to_TN_corrected	FP_to_TN_corrected
FGRAMPH1_01G01217	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0566172413527965	1.0768077072048724e-16	TN_stable	TN_stable
FGRAMPH1_01G01231	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0537933818995952	2.9343506791068567e-12	TN_stable	TN_stable
FGRAMPH1_01G01253	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0930525138974189	5.928300743107684e-05	TN_stable	TN_stable
FGRAMPH1_01G01281	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0929872244596481	0.1244828999042511	TN_stable	TN_stable
FGRAMPH1_01G01287	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.251579225063324	3.965820724260993e-06	TN_stable	TN_stable
FGRAMPH1_01G01299	fgraminearum	fgraminearum_newlabel	1	test	1029	1	1	0.9205869436264038	0.965928077697754	TP_stable	TP_stable
FGRAMPH1_01G01311	fgraminearum	fgraminearum_newlabel	0	test	1029	0	1	0.408984363079071	0.6075051426887512	TN_to_FP_regressed	TN_to_FP_regressed
FGRAMPH1_01G01315	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0956327989697456	1.4663393925733875e-14	TN_stable	TN_stable
FGRAMPH1_01G01341	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0154771544039249	0.0106323333457112	TN_stable	TN_stable
FGRAMPH1_01G01351	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0127558605745434	0.0010566305136308	TN_stable	TN_stable
FGRAMPH1_01G01361	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.2828461527824402	0.1093775406479835	TN_stable	TN_stable
FGRAMPH1_01G01365	fgraminearum	fgraminearum_newlabel	0	test	1029	0	0	0.0831948146224021	9.743304872245062e-06	TN_stable	TN_stable
