node_id	species	protocol	label	split	rescue_count	rescue_frequency	stable_rescued_ge2	confidence_tier	mean_delta_probability	std_delta_probability
FGRAMPH1_01G06329	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.03328596653882414	0.2324093351134069
FGRAMPH1_01G06687	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.6016216725111008	0.10767571875617106
FGRAMPH1_01G06719	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.47595579326152804	0.0703623559184791
FGRAMPH1_01G06815	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.2520946621894836	0.0528800696383377
FGRAMPH1_01G06921	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.3537200898863375	0.12043520217942875
FGRAMPH1_01G07041	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.012670826911926291	0.007186692553285107
FGRAMPH1_01G07141	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.22249849607760552	0.05457320064098103
FGRAMPH1_01G07233	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.5120781920850277	0.19288918024618765
FGRAMPH1_01G07327	fgraminearum	fgraminearum_newlabel	1	test	2	0.4	True	stable_rescued	0.1748107612133026	0.17853895155348465
FGRAMPH1_01G07565	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.08910298347473142	0.019901775338706025
FGRAMPH1_01G07909	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.1714736288968262	0.07548650581876035
FGRAMPH1_01G07917	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.021847563982009887	0.2527660736984684
FGRAMPH1_01G07959	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.1366119146347046	0.032357559124271656
FGRAMPH1_01G08011	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.22781752292066812	0.09874363573942684
FGRAMPH1_01G08153	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.05742637132048001	0.062231189604760366
FGRAMPH1_01G08293	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.48412530936766424	0.12770601542364282
FGRAMPH1_01G08333	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.017310714721679686	0.11738706214128306
FGRAMPH1_01G09179	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.608257418870926	0.09325955274305332
FGRAMPH1_01G09819	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.22824106216430665	0.04198619559482038
FGRAMPH1_01G09887	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.34869096279038636	0.07981039067726971
FGRAMPH1_01G10107	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.20837720930576326	0.21971960702952426
FGRAMPH1_01G10115	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.308501698076725	0.28630744338417935
FGRAMPH1_01G10173	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.00283880233764644	0.10509569337564179
FGRAMPH1_01G10201	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.12955224514007566	0.06490269249252627
FGRAMPH1_01G10423	fgraminearum	fgraminearum_newlabel	1	test	3	0.6	True	stable_rescued	0.20745669603347777	0.20142381599117526
FGRAMPH1_01G10471	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.06261998414993282	0.01421801904904382
FGRAMPH1_01G10757	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.04627922773361204	0.00974601209899964
FGRAMPH1_01G10801	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.010770853841677317	0.09626040578296673
FGRAMPH1_01G11015	fgraminearum	fgraminearum_newlabel	1	test	4	0.8	True	high_confidence_rescued	0.32453471422195435	0.08824920690157714
FGRAMPH1_01G11029	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.22616265416145326	0.18541204302824987
FGRAMPH1_01G11053	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.5295860709622502	0.2972538564974583
FGRAMPH1_01G11091	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.027692234516143797	0.0545024933457495
FGRAMPH1_01G11109	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.08781288862228395	0.017541619608474522
FGRAMPH1_01G11217	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.11333601474761965	0.05100924702702419
FGRAMPH1_01G11257	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.03362627029418945	0.04220172064258397
FGRAMPH1_01G11339	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.0014034777879714966	0.1667431867205135
FGRAMPH1_01G14205	fgraminearum	fgraminearum_newlabel	1	test	2	0.4	True	stable_rescued	0.19971355795860293	0.1716639181124681
FGRAMPH1_01G14223	fgraminearum	fgraminearum_newlabel	1	test	1	0.2	False	seed_specific_rescued	0.23392720222473146	0.0902628903268328
FGRAMPH1_01G14289	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.24576444625854496	0.043585787310451325
FGRAMPH1_01G14493	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.5300545126199723	0.08521128475545221
FGRAMPH1_01G14505	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.12422913312911987	0.048503967483521385
FGRAMPH1_01G14577	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.05960834026336677	0.02704335916236437
FGRAMPH1_01G14675	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.02185909748077397	0.011870980083145093
FGRAMPH1_01G14687	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.11838123798370359	0.01869860606642122
FGRAMPH1_01G14811	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.09656208753585815	0.07906761398733969
FGRAMPH1_01G14855	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.18672904670238494	0.18227997282922784
FGRAMPH1_01G14873	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.38307557106018064	0.06262006947714321
FGRAMPH1_01G14879	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.03894335627555846	0.1532177839107573
FGRAMPH1_01G14975	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.01815359592437744	0.06952495204949172
FGRAMPH1_01G15103	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.14597554206848146	0.17479972753224243
FGRAMPH1_01G15113	fgraminearum	fgraminearum_newlabel	1	test	5	1.0	True	high_confidence_rescued	0.5186165988445282	0.07908122358711667
FGRAMPH1_01G15207	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.03351514339447022	0.004704636395486787
FGRAMPH1_01G15399	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.050827332586050045	0.15430754986249198
FGRAMPH1_01G16793	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.21381793571636082	0.01671618015557429
FGRAMPH1_01G17125	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.06192179471254348	0.10900045259134485
FGRAMPH1_01G17257	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.06401270627975464	0.017144316058986014
FGRAMPH1_01G17299	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.18418161869049068	0.05361957224735938
FGRAMPH1_01G17337	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.7174490266919747	0.019844307905307234
FGRAMPH1_01G17349	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.5712707467377186	0.1175336727460989
FGRAMPH1_01G17375	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.10833598375320434	0.008852573338069032
FGRAMPH1_01G17385	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.5287363812327385	0.14358656659743146
FGRAMPH1_01G17395	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.4525912848737789	0.0419141870339367
FGRAMPH1_01G17427	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.49906897991895677	0.21582977981112603
FGRAMPH1_01G17637	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	0.012449979782104558	0.007482789200308534
FGRAMPH1_01G17851	fgraminearum	fgraminearum_newlabel	1	test	1	0.2	False	seed_specific_rescued	0.13076661825180053	0.2945607487440546
FGRAMPH1_01G17885	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.032822370529174805	0.12357111793568515
FGRAMPH1_01G17903	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.006388461589813122	0.0677830350128833
FGRAMPH1_01G17935	fgraminearum	fgraminearum_newlabel	1	test	0	0.0	False	not_rescued	-0.13793045282363892	0.09299540126500241
