protocol	species	regime	model	feature_setting	train_fraction	train_fraction_tag	n_runs	seed_list	split_version_count	split_manifest_count	mean_AUPRC	sd_AUPRC	mean_AUROC	sd_AUROC	mean_MCC	sd_MCC	mean_F1	sd_F1	mean_PRECISION	sd_PRECISION	mean_RECALL	sd_RECALL	baseline_AUPRC_at_0.90	performance_retention_AUPRC	performance_drop_AUPRC
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.2	20	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.31492442947747834	0.0033564428624052326	0.3775316383008712	0.002557503152871492	0.3780040893589566	0.006355997961173423	0.3771689497716895	0.00365296803652968	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.3	30	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.3163824318310092	0.004406687568764781	0.3788067478864994	0.0033990352366415366	0.3796209089473265	0.007222270484240747	0.3780821917808219	0.0018264840182648401	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.4	40	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.31780523276509715	0.0034072043200205292	0.3800552229520925	0.002654564067562219	0.38115835344973514	0.005324400622763289	0.3789954337899543	0.0	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.5	50	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.3164524925742635	0.0023448739059418883	0.3790041754454808	0.0018253399182141675	0.3790306021646089	0.0036718016129874006	0.3789954337899543	0.0	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.6	60	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.3167903375318315	0.002438268817516632	0.3791310146134159	0.0018422814514859572	0.38022682057093726	0.0043728415102227604	0.3780821917808219	0.00182648401826484	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.7	70	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.3157911177697891	0.0020295757291583128	0.3782162677086204	0.0012750731240844903	0.3793330527299044	0.004731569931641636	0.37716894977168947	0.0022369769340485645	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.8	80	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.3181299806587842	0.0025036354226878003	0.38017416501140505	0.001967156729839665	0.3823230007245729	0.004141999184255424	0.3780821917808219	0.0018264840182648401	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	DC	NETWORK	0.9	90	5	1029,1030,1031,1032,1033	5	5	0.3646748255008892	0.0	0.8032381444468248	0.0	0.3198101750365535	0.0022393192433319167	0.38161720710034325	0.001742544324659123	0.38429175475687105	0.0035095137420719123	0.3789954337899543	0.0	0.3646748255008892	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.1	10	5	1029,1030,1031,1032,1033	5	5	0.385083332807055	0.04282030542088241	0.8743053017605323	0.015256834115005145	0.39333482141104875	0.031762244833864	0.4228826500846665	0.04562953361543841	0.3011930751796349	0.057762899965532064	0.7698630136986301	0.11423193771228364	0.5354899649755239	0.7191233412276107	0.15040663216846895
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.2	20	5	1029,1030,1031,1032,1033	5	5	0.39512904367130713	0.04577584804895203	0.8762477263466538	0.015051853967643528	0.3997708677265592	0.03681407262354174	0.43838780382552767	0.05071175946761005	0.3280954854957113	0.0645606682821863	0.7141552511415525	0.10869498315001301	0.5354899649755239	0.7378831901908145	0.1403609213042168
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.3	30	5	1029,1030,1031,1032,1033	5	5	0.4288701653543983	0.04288721233079529	0.8871604222589087	0.01137249835188325	0.40966221003690356	0.043655468641724066	0.4390788038862878	0.061364970977820066	0.3247350162506864	0.08211036047684182	0.7643835616438357	0.1275469244124128	0.5354899649755239	0.8008930015597977	0.10661979962112561
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.4	40	5	1029,1030,1031,1032,1033	5	5	0.4604109176867947	0.02469960721426067	0.898470298630977	0.004903093292272646	0.4375071681618873	0.014521273286873746	0.46893889493220875	0.02204196095080325	0.36578427725257284	0.07341939949291082	0.726027397260274	0.13573246577891676	0.5354899649755239	0.8597937362053817	0.07507904728872922
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.5	50	5	1029,1030,1031,1032,1033	5	5	0.49095797536161373	0.031098000526751095	0.9018399264029439	0.004730328712728426	0.4592190802803007	0.02193442510689815	0.4928317390389097	0.034859003867302264	0.3909865466907223	0.07888905016714326	0.7232876712328766	0.1125031130186995	0.5354899649755239	0.9168387971267666	0.044531989613910195
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.6	60	5	1029,1030,1031,1032,1033	5	5	0.4565843541687313	0.04489290414897787	0.8987960664221832	0.011312997239807547	0.4470086402467885	0.030036975402455767	0.47882808414159717	0.023954936518532755	0.34872076524688944	0.019165090671864955	0.765296803652968	0.04479542819518072	0.5354899649755239	0.852647825416487	0.07890561080679265
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.7	70	5	1029,1030,1031,1032,1033	5	5	0.49591340119410204	0.0352597004767421	0.9066367573607558	0.0038210047261794744	0.46687622423604713	0.02569207260842451	0.49757484585758327	0.03401534022732774	0.38408505253978636	0.06733649815294705	0.7515981735159817	0.09906045144554657	0.5354899649755239	0.9260928002950889	0.03957656378142188
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.8	80	5	1029,1030,1031,1032,1033	5	5	0.5146927421017656	0.027236931186744993	0.9107858334068462	0.004737857672867441	0.4820420046885772	0.02142828166635779	0.5139732226170396	0.026641910276888024	0.4225159066073923	0.09436545201770638	0.7196347031963469	0.11517716112574816	0.5354899649755239	0.9611622546937758	0.020797222873758292
fgraminearum_newlabel	fgraminearum	newlabel	GraphSAGE	ORT_EXP_SUB_ESM2	0.9	90	5	1029,1030,1031,1032,1033	5	5	0.5354899649755239	0.017013586064936352	0.9141741544950074	0.002549570110081093	0.49071997666694295	0.011349352168928495	0.5306675903950178	0.015210060250696484	0.4371873724634422	0.044015368584920625	0.6931506849315068	0.07653818023655512	0.5354899649755239	1.0	0.0
fgraminearum_newlabel	fgraminearum	newlabel	MLP	ORT_EXP_SUB_ESM2	0.1	10	5	1029,1030,1031,1032,1033	5	5	0.4215476610596903	0.019481415019209587	0.8816112378335916	0.007358848101486803	0.38432176786886363	0.02367947641053508	0.39849818895328765	0.02638720741267385	0.2600203976165172	0.02396888252162645	0.8621004566210045	0.030343831462714445	0.5158553091490111	0.8171819763861752	0.0943076480893208
fgraminearum_newlabel	fgraminearum	newlabel	MLP	ORT_EXP_SUB_ESM2	0.2	20	5	1029,1030,1031,1032,1033	5	5	0.4243403994107225	0.028756791222123296	0.8835746661457742	0.009691456277988564	0.3646164989876003	0.04258360831012329	0.37312935794701574	0.04791297279069097	0.23775887571947774	0.0419227516729843	0.9004566210045661	0.04238466259679378	0.5158553091490111	0.8225957780889032	0.09151490973828863
