raw_id	mapped_gene_id	mapping_status	mapping_method	mapping_evidence
FGSG_00145	FGRAMPH1_01G00393	mapped	alias_bridge	STRING aliases bridge
FGSG_00147	FGRAMPH1_01G00399	mapped	alias_bridge	STRING aliases bridge
FGSG_00148	FGRAMPH1_01G00401	mapped	alias_bridge	STRING aliases bridge
FGSG_00150	FGRAMPH1_01G00405	mapped	alias_bridge	STRING aliases bridge
FGSG_00152	FGRAMPH1_01G00413	mapped	alias_bridge	STRING aliases bridge
FGSG_00153		unmapped	none	no evidence found
FGSG_00154	FGRAMPH1_01G00417	mapped	alias_bridge	STRING aliases bridge
FGSG_00156	FGRAMPH1_01G00423	mapped	alias_bridge	STRING aliases bridge
FGSG_00157	FGRAMPH1_01G00427	mapped	alias_bridge	STRING aliases bridge
FGSG_00158	FGRAMPH1_01G00429	mapped	alias_bridge	STRING aliases bridge
FGSG_00160	FGRAMPH1_01G00439	mapped	alias_bridge	STRING aliases bridge
FGSG_00161	FGRAMPH1_01G00441	mapped	alias_bridge	STRING aliases bridge
FGSG_00162	FGRAMPH1_01G00443	mapped	alias_bridge	STRING aliases bridge
FGSG_00163	FGRAMPH1_01G00447	mapped	alias_bridge	STRING aliases bridge
FGSG_00164	FGRAMPH1_01G00453	mapped	alias_bridge	STRING aliases bridge
FGSG_00165	FGRAMPH1_01G00455	mapped	alias_bridge	STRING aliases bridge
FGSG_00166	FGRAMPH1_01G00457	mapped	alias_bridge	STRING aliases bridge
FGSG_00168	FGRAMPH1_01G00461	mapped	alias_bridge	STRING aliases bridge
FGSG_00169		unmapped	none	no evidence found
FGSG_00170	FGRAMPH1_01G00465	mapped	alias_bridge	STRING aliases bridge
FGSG_00171	FGRAMPH1_01G00467	mapped	alias_bridge	STRING aliases bridge
FGSG_00173	FGRAMPH1_01G00473	mapped	alias_bridge	STRING aliases bridge
FGSG_00174	FGRAMPH1_01G00475	mapped	alias_bridge	STRING aliases bridge
FGSG_00175	FGRAMPH1_01G00477	mapped	alias_bridge	STRING aliases bridge
FGSG_00176	FGRAMPH1_01G00479	mapped	alias_bridge	STRING aliases bridge
FGSG_00177	FGRAMPH1_01G00481	mapped	alias_bridge	STRING aliases bridge
FGSG_00179	FGRAMPH1_01G00491	mapped	alias_bridge	STRING aliases bridge
FGSG_00180	FGRAMPH1_01G00495	mapped	alias_bridge	STRING aliases bridge
FGSG_00181	FGRAMPH1_01G00497	mapped	alias_bridge	STRING aliases bridge
FGSG_00182	FGRAMPH1_01G00499	mapped	alias_bridge	STRING aliases bridge
FGSG_00183	FGRAMPH1_01G00501	mapped	alias_bridge	STRING aliases bridge
FGSG_00184	FGRAMPH1_01G00503	mapped	alias_bridge	STRING aliases bridge
FGSG_00185	FGRAMPH1_01G00505	mapped	alias_bridge	STRING aliases bridge
FGSG_00186	FGRAMPH1_01G00507	mapped	alias_bridge	STRING aliases bridge
FGSG_00188	FGRAMPH1_01G00511	mapped	alias_bridge	STRING aliases bridge
FGSG_00189	FGRAMPH1_01G00513	mapped	alias_bridge	STRING aliases bridge
FGSG_00190	FGRAMPH1_01G00515	mapped	alias_bridge	STRING aliases bridge
FGSG_00192	FGRAMPH1_01G00521	mapped	alias_bridge	STRING aliases bridge
FGSG_00193	FGRAMPH1_01G00523	mapped	alias_bridge	STRING aliases bridge
FGSG_00194	FGRAMPH1_01G00525	mapped	alias_bridge	STRING aliases bridge
FGSG_00195	FGRAMPH1_01G00527	mapped	alias_bridge	STRING aliases bridge
FGSG_00196	FGRAMPH1_01G00531	mapped	alias_bridge	STRING aliases bridge
FGSG_00197	FGRAMPH1_01G00533	mapped	alias_bridge	STRING aliases bridge
FGSG_00198	FGRAMPH1_01G00535	mapped	alias_bridge	STRING aliases bridge
FGSG_00199	FGRAMPH1_01G00537	mapped	alias_bridge	STRING aliases bridge
FGSG_00200	FGRAMPH1_01G00539	mapped	alias_bridge	STRING aliases bridge
FGSG_00201	FGRAMPH1_01G00541	mapped	alias_bridge	STRING aliases bridge
FGSG_00205	FGRAMPH1_01G00553	mapped	alias_bridge	STRING aliases bridge
FGSG_00206	FGRAMPH1_01G00555	mapped	alias_bridge	STRING aliases bridge
FGSG_00207	FGRAMPH1_01G00559	mapped	alias_bridge	STRING aliases bridge
FGSG_00208	FGRAMPH1_01G00561	mapped	alias_bridge	STRING aliases bridge
