raw_probe_id	mapped_gene_id	mapping_status	mapping_method
Q6ZMT9	ENSG00000197057	mapped	alias_bridge
Q6ZMU1		unmapped	none
Q6ZMU5	ENSG00000177238	mapped	alias_bridge
Q6ZMV5		unmapped	none
Q6ZMV7	ENSG00000197980	mapped	alias_bridge
Q6ZMV9	ENSG00000164627	mapped	alias_bridge
Q6ZMW2	ENSG00000196597	mapped	alias_bridge
Q6ZMW3	ENSG00000214595	mapped	alias_bridge
Q6ZMY3	ENSG00000134668	mapped	alias_bridge
Q6ZMY6	ENSG00000166359	mapped	alias_bridge
Q6ZMY9	ENSG00000197363	mapped	alias_bridge
Q6ZMZ0	ENSG00000116514	mapped	alias_bridge
Q6ZMZ3	ENSG00000176438	mapped	alias_bridge
Q6ZN01	ENSG00000176909	mapped	alias_bridge
Q6ZN04	ENSG00000183496	mapped	alias_bridge
Q6ZN06	ENSG00000198346	mapped	alias_bridge
Q6ZN11	ENSG00000188227	mapped	alias_bridge
Q6ZN16	ENSG00000180815	mapped	alias_bridge
Q6ZN17	ENSG00000187772	mapped	alias_bridge
Q6ZN18	ENSG00000139154	mapped	alias_bridge
Q6ZN19	ENSG00000197608	mapped	alias_bridge
Q6ZN28	ENSG00000183742	mapped	alias_bridge
Q6ZN30	ENSG00000173068	mapped	alias_bridge
Q6ZN32	ENSG00000253831	mapped	alias_bridge
Q6ZN44	ENSG00000113763	mapped	alias_bridge
Q6ZN54	ENSG00000140995	mapped	alias_bridge
Q6ZN55	ENSG00000105732	mapped	alias_bridge
Q6ZN57	ENSG00000198939	mapped	alias_bridge
Q6ZN66	ENSG00000183347	mapped	alias_bridge
Q6ZN68		unmapped	none
Q6ZN79	ENSG00000196946	mapped	alias_bridge
Q6ZN84	ENSG00000149201	mapped	alias_bridge
Q6ZNA1	ENSG00000196267	mapped	alias_bridge
Q6ZNA4	ENSG00000157450	mapped	alias_bridge
Q6ZNA5	ENSG00000156869	mapped	alias_bridge
Q6ZNB6	ENSG00000170448	mapped	alias_bridge
Q6ZNB7	ENSG00000187546	mapped	alias_bridge
Q6ZNC4	ENSG00000164684	mapped	alias_bridge
