source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
PomBase	SPAC1805.17	crm1	E	SPAC1805.17.1:pep	locus_exact	matched
PomBase	SPAC1834.01	erf1	E	SPAC1834.01.1:pep	locus_exact	matched
PomBase	SPAC1834.02	aro1	E	SPAC1834.02.1:pep	locus_exact	matched
PomBase	SPAC1834.06c	pmo25	E	SPAC1834.06c.1:pep	locus_exact	matched
PomBase	SPAC1834.11c	sec18	E	SPAC1834.11c.1:pep	locus_exact	matched
PomBase	SPAC1851.03	ckb1	E	SPAC1851.03.1:pep	locus_exact	matched
PomBase	SPAC18B11.05	gpi18	E	SPAC18B11.05.1:pep	locus_exact	matched
PomBase	SPAC18B11.06	lcp5	E	SPAC18B11.06.1:pep	locus_exact	matched
PomBase	SPAC18B11.11	SPAC18B11.11	E	SPAC18B11.11.1:pep	locus_exact	matched
PomBase	SPAC18G6.03	ypt3	E	SPAC18G6.03.1:pep	locus_exact	matched
PomBase	SPAC18G6.06	utp11	E	SPAC18G6.06.1:pep	locus_exact	matched
PomBase	SPAC18G6.07c	mra1	E	SPAC18G6.07c.1:pep	locus_exact	matched
PomBase	SPAC18G6.11c	rrn3	E	SPAC18G6.11c.1:pep	locus_exact	matched
PomBase	SPAC18G6.14c	rps7	E	SPAC18G6.14c.1:pep	locus_exact	matched
PomBase	SPAC1952.01	gab1	E	SPAC1952.01.1:pep	locus_exact	matched
PomBase	SPAC1952.11c	ure2	E	SPAC1952.11c.1:pep	locus_exact	matched
PomBase	SPAC1952.13	ned1	E	SPAC1952.13.1:pep	locus_exact	matched
PomBase	SPAC1952.14c	mrpl25	E	SPAC1952.14c.1:pep	locus_exact	matched
PomBase	SPAC19A8.06	pbr1	E	SPAC19A8.06.1:pep	locus_exact	matched
PomBase	SPAC19A8.07c	imp4	E	SPAC19A8.07c.1:pep	locus_exact	matched
PomBase	SPAC19A8.09	yos1	E	SPAC19A8.09.1:pep	locus_exact	matched
PomBase	SPAC19A8.12	dcp2	E	SPAC19A8.12.1:pep	locus_exact	matched
PomBase	SPAC19A8.13	usp101	E	SPAC19A8.13.1:pep	locus_exact	matched
PomBase	SPAC19A8.15	trp2	E	SPAC19A8.15.1:pep	locus_exact	matched
PomBase	SPAC19B12.01	SPAC19B12.01	E	SPAC19B12.01.1:pep	locus_exact	matched
PomBase	SPAC19B12.02c	gas1	E	SPAC19B12.02c.1:pep	locus_exact	matched
PomBase	SPAC19B12.03	bgs3	E	SPAC19B12.03.1:pep	locus_exact	matched
PomBase	SPAC19B12.05c	fcp1	E	SPAC19B12.05c.1:pep	locus_exact	matched
PomBase	SPAC19D5.04	ptr1	E	SPAC19D5.04.1:pep	locus_exact	matched
PomBase	SPAC19D5.05c	imp3	E	SPAC19D5.05c.1:pep	locus_exact	matched
PomBase	SPAC19G12.01c	cut20	E	SPAC19G12.01c.1:pep	locus_exact	matched
PomBase	SPAC19G12.07c	rsd1	E	SPAC19G12.07c.1:pep	locus_exact	matched
PomBase	SPAC19G12.11	coq9	E	SPAC19G12.11.1:pep	locus_exact	matched
PomBase	SPAC19G12.12	dlp1	E	SPAC19G12.12.1:pep	locus_exact	matched
PomBase	SPAC19G12.14	its3	E	SPAC19G12.14.1:pep	locus_exact	matched
PomBase	SPAC1A6.02	wdr55	E	SPAC1A6.02.1:pep	locus_exact	matched
PomBase	SPAC1B1.01	deb1	E	SPAC1B1.01.1:pep	locus_exact	matched
PomBase	SPAC1B1.03c	kap95	E	SPAC1B1.03c.1:pep	locus_exact	matched
PomBase	SPAC1B2.05	mcm5	E	SPAC1B2.05.1:pep	locus_exact	matched
PomBase	SPAC1B3.03c	wis2	E	SPAC1B3.03c.1:pep	locus_exact	matched
PomBase	SPAC1B3.09c	noc202	E	SPAC1B3.09c.1:pep	locus_exact	matched
PomBase	SPAC1B3.12c	rpb10	E	SPAC1B3.12c.1:pep	locus_exact	matched
PomBase	SPAC1B3.13	nan1	E	SPAC1B3.13.1:pep	locus_exact	matched
PomBase	SPAC1B3.14	vma3	E	SPAC1B3.14.1:pep	locus_exact	matched
PomBase	SPAC1B3.16c	vht1	E	SPAC1B3.16c.1:pep	locus_exact	matched
PomBase	SPAC1B3.18c	mrps18	E	SPAC1B3.18c.1:pep	locus_exact	matched
PomBase	SPAC1B9.03c	SPAC1B9.03c	E	SPAC1B9.03c.1:pep	locus_exact	matched
PomBase	SPAC1D4.04	cct2	E	SPAC1D4.04.1:pep	locus_exact	matched
PomBase	SPAC1D4.08	pis1	E	SPAC1D4.08.1:pep	locus_exact	matched
PomBase	SPAC1D4.10	trz1	E	SPAC1D4.10.1:pep	locus_exact	matched
