source_ref_db	source_locus	source_gene	essentiality	matched_gene_id	match_type	match_status
SGD	S000001212	DBP8	E	YHR169W	locus_exact	matched
SGD	S000001213	NMD3	E	YHR170W	locus_exact	matched
SGD	S000001215	SPC97	E	YHR172W	locus_exact	matched
SGD	S000001229	KOG1	E	YHR186C	locus_exact	matched
SGD	S000001231	GPI16	E	YHR188C	locus_exact	matched
SGD	S000001233	ERG9	E	YHR190W	locus_exact	matched
SGD	S000001239	UTP9	E	YHR196W	locus_exact	matched
SGD	S000001240	RIX1	E	YHR197W	locus_exact	matched
SGD	S000001265	CFD1	E	YIL003W	locus_exact	matched
SGD	S000001266	BET1	E	YIL004C	locus_exact	matched
SGD	S000001281	FAF1	E	YIL019W	locus_exact	matched
SGD	S000001283	RPB3	E	YIL021W	locus_exact	matched
SGD	S000001284	TIM44	E	YIL022W	locus_exact	matched
SGD	S000001288	IRR1	E	YIL026C	locus_exact	matched
SGD	S000001308	MET30	E	YIL046W	locus_exact	matched
SGD	S000001310	NEO1	E	YIL048W	locus_exact	matched
SGD	S000001313	MMF1	E	YIL051C	locus_exact	matched
SGD	S000001324	ARC15	E	YIL062C	locus_exact	matched
SGD	S000001330	SEC6	E	YIL068C	locus_exact	matched
SGD	S000001337	RPN2	E	YIL075C	locus_exact	matched
SGD	S000001340	THS1	E	YIL078W	locus_exact	matched
SGD	S000001345	CAB2	E	YIL083C	locus_exact	matched
SGD	S000001353	UTP25	E	YIL091C	locus_exact	matched
SGD	S000001366	SHQ1	E	YIL104C	locus_exact	matched
SGD	S000001368	MOB1	E	YIL106W	locus_exact	matched
SGD	S000001371	SEC24	E	YIL109C	locus_exact	matched
SGD	S000001377	NUP159	E	YIL115C	locus_exact	matched
SGD	S000001388	STH1	E	YIL126W	locus_exact	matched
SGD	S000001391	TAO3	E	YIL129C	locus_exact	matched
SGD	S000001404	CCT2	E	YIL142W	locus_exact	matched
SGD	S000001406	NDC80	E	YIL144W	locus_exact	matched
SGD	S000001443	DJP1	E	YIR004W	locus_exact	matched
SGD	S000001445	PAN1	E	YIR006C	locus_exact	matched
SGD	S000001447	PRI1	E	YIR008C	locus_exact	matched
SGD	S000001449	DSN1	E	YIR010W	locus_exact	matched
SGD	S000001450	STS1	E	YIR011C	locus_exact	matched
SGD	S000001451	SQT1	E	YIR012W	locus_exact	matched
SGD	S000001454	RPR2	E	YIR015W	locus_exact	matched
SGD	S000001461	SEC11	E	YIR022W	locus_exact	matched
SGD	S000001487	AUR1	E	YKL004W	locus_exact	matched
SGD	S000001495	PRP40	E	YKL012W	locus_exact	matched
SGD	S000001496	ARC19	E	YKL013C	locus_exact	matched
SGD	S000001497	URB1	E	YKL014C	locus_exact	matched
SGD	S000001501	SWD2	E	YKL018W	locus_exact	matched
SGD	S000001502	RAM2	E	YKL019W	locus_exact	matched
SGD	S000001504	MAK11	E	YKL021C	locus_exact	matched
SGD	S000001505	CDC16	E	YKL022C	locus_exact	matched
SGD	S000001507	URA6	E	YKL024C	locus_exact	matched
SGD	S000001511	TFA1	E	YKL028W	locus_exact	matched
SGD	S000001516	TTI1	E	YKL033W	locus_exact	matched
SGD	S000001518	UGP1	E	YKL035W	locus_exact	matched
SGD	S000001525	SPC42	E	YKL042W	locus_exact	matched
SGD	S000001528	PRI2	E	YKL045W	locus_exact	matched
SGD	S000001532	CSE4	E	YKL049C	locus_exact	matched
SGD	S000001535	ASK1	E	YKL052C	locus_exact	matched
SGD	S000001541	TOA2	E	YKL058W	locus_exact	matched
SGD	S000001542	MPE1	E	YKL059C	locus_exact	matched
SGD	S000001543	FBA1	E	YKL060C	locus_exact	matched
SGD	S000001561	DHR2	E	YKL078W	locus_exact	matched
SGD	S000001571	CAB3	E	YKL088W	locus_exact	matched
SGD	S000001572	MIF2	E	YKL089W	locus_exact	matched
SGD	S000001578	YJU2	E	YKL095W	locus_exact	matched
SGD	S000001582	UTP11	E	YKL099C	locus_exact	matched
SGD	S000001587	GFA1	E	YKL104C	locus_exact	matched
SGD	S000001591	SLD2	E	YKL108W	locus_exact	matched
SGD	S000001595	ABF1	E	YKL112W	locus_exact	matched
SGD	S000001608	RRN3	E	YKL125W	locus_exact	matched
SGD	S000001624	SDH3	E	YKL141W	locus_exact	matched
SGD	S000001627	RPC25	E	YKL144C	locus_exact	matched
SGD	S000001628	RPT1	E	YKL145W	locus_exact	matched
SGD	S000001648	MCD4	E	YKL165C	locus_exact	matched
SGD	S000001655	EBP2	E	YKL172W	locus_exact	matched
SGD	S000001656	SNU114	E	YKL173W	locus_exact	matched
SGD	S000001663	RPL17A	E	YKL180W	locus_exact	matched
SGD	S000001665	FAS1	E	YKL182W	locus_exact	matched
SGD	S000001669	MTR2	E	YKL186C	locus_exact	matched
SGD	S000001672	HYM1	E	YKL189W	locus_exact	matched
SGD	S000001676	SDS22	E	YKL193C	locus_exact	matched
SGD	S000001679	YKT6	E	YKL196C	locus_exact	matched
SGD	S000001686	TOR2	E	YKL203C	locus_exact	matched
SGD	S000001693	UBA1	E	YKL210W	locus_exact	matched
SGD	S000001710	PAP1	E	YKR002W	locus_exact	matched
SGD	S000001712	ECM9	E	YKR004C	locus_exact	matched
SGD	S000001716	RSC4	E	YKR008W	locus_exact	matched
SGD	S000001730	NTR2	E	YKR022C	locus_exact	matched
SGD	S000001733	RPC37	E	YKR025W	locus_exact	matched
SGD	S000001745	SPC34	E	YKR037C	locus_exact	matched
SGD	S000001770	TFA2	E	YKR062W	locus_exact	matched
SGD	S000001771	LAS1	E	YKR063C	locus_exact	matched
SGD	S000001776	BET3	E	YKR068C	locus_exact	matched
SGD	S000001779	DRE2	E	YKR071C	locus_exact	matched
SGD	S000001787	TRZ1	E	YKR079C	locus_exact	matched
SGD	S000001789	RPF2	E	YKR081C	locus_exact	matched
SGD	S000001791	DAD2	E	YKR083C	locus_exact	matched
SGD	S000001794	PRP16	E	YKR086W	locus_exact	matched
SGD	S000001849	SEC53	E	YFL045C	locus_exact	matched
SGD	S000001855	ACT1	E	YFL039C	locus_exact	matched
SGD	S000001857	TUB2	E	YFL037W	locus_exact	matched
SGD	S000001859	MOB2	E	YFL034C-B	locus_exact	matched
SGD	S000001865	CAK1	E	YFL029C	locus_exact	matched
SGD	S000001870	EPL1	E	YFL024C	locus_exact	matched
SGD	S000001872	FRS2	E	YFL022C	locus_exact	matched
SGD	S000001877	GNA1	E	YFL017C	locus_exact	matched
SGD	S000001885	CDC4	E	YFL009W	locus_exact	matched
SGD	S000001886	SMC1	E	YFL008W	locus_exact	matched
SGD	S000001889	SEC4	E	YFL005W	locus_exact	matched
SGD	S000001894	SPB4	E	YFL002C	locus_exact	matched
SGD	S000001898	NIC96	E	YFR002W	locus_exact	matched
SGD	S000001899	YPI1	E	YFR003C	locus_exact	matched
SGD	S000001900	RPN11	E	YFR004W	locus_exact	matched
SGD	S000001901	SAD1	E	YFR005C	locus_exact	matched
SGD	S000001923	ECO1	E	YFR027W	locus_exact	matched
SGD	S000001924	CDC14	E	YFR028C	locus_exact	matched
SGD	S000001927	SMC2	E	YFR031C	locus_exact	matched
SGD	S000001933	RSC8	E	YFR037C	locus_exact	matched
SGD	S000001938	KEG1	E	YFR042W	locus_exact	matched
SGD	S000001946	PRE4	E	YFR050C	locus_exact	matched
SGD	S000001948	RPN12	E	YFR052W	locus_exact	matched
SGD	S000002101	SFT1	E	YKL006C-A	locus_exact	matched
SGD	S000002161	MCD1	E	YDL003W	locus_exact	matched
SGD	S000002162	ATP16	E	YDL004W	locus_exact	matched
SGD	S000002165	RPT2	E	YDL007W	locus_exact	matched
SGD	S000002172	NOP1	E	YDL014W	locus_exact	matched
SGD	S000002173	TSC13	E	YDL015C	locus_exact	matched
SGD	S000002175	CDC7	E	YDL017W	locus_exact	matched
SGD	S000002188	PRP9	E	YDL030W	locus_exact	matched
SGD	S000002189	DBP10	E	YDL031W	locus_exact	matched
SGD	S000002201	PRP11	E	YDL043C	locus_exact	matched
SGD	S000002203	FAD1	E	YDL045C	locus_exact	matched
SGD	S000002213	PSA1	E	YDL055C	locus_exact	matched
SGD	S000002218	TSR1	E	YDL060W	locus_exact	matched
SGD	S000002222	UBC9	E	YDL064W	locus_exact	matched
SGD	S000002242	SUB2	E	YDL084W	locus_exact	matched
SGD	S000002245	LUC7	E	YDL087C	locus_exact	matched
SGD	S000002255	RPN6	E	YDL097C	locus_exact	matched
SGD	S000002256	SNU23	E	YDL098C	locus_exact	matched
SGD	S000002260	POL3	E	YDL102W	locus_exact	matched
SGD	S000002261	QRI1	E	YDL103C	locus_exact	matched
SGD	S000002263	NSE4	E	YDL105W	locus_exact	matched
SGD	S000002266	KIN28	E	YDL108W	locus_exact	matched
SGD	S000002269	RRP42	E	YDL111C	locus_exact	matched
SGD	S000002284	CDC48	E	YDL126C	locus_exact	matched
SGD	S000002290	CDC53	E	YDL132W	locus_exact	matched
SGD	S000002298	SCM3	E	YDL139C	locus_exact	matched
SGD	S000002299	RPO21	E	YDL140C	locus_exact	matched
