gene_id	source_ref_db	source_locus	source_gene	match_type
YDR531W	SGD	S000002939	CAB1	locus_exact
YEL002C	SGD	S000000728	WBP1	locus_exact
YEL019C	SGD	S000000745	MMS21	locus_exact
YEL020W-A	SGD	S000007256	TIM9	locus_exact
YEL026W	SGD	S000000752	SNU13	locus_exact
YEL032W	SGD	S000000758	MCM3	locus_exact
YEL035C	SGD	S000000761	UTR5	locus_exact
YEL055C	SGD	S000000781	POL5	locus_exact
YEL058W	SGD	S000000784	PCM1	locus_exact
YER003C	SGD	S000000805	PMI40	locus_exact
YER006W	SGD	S000000808	NUG1	locus_exact
YER009W	SGD	S000000811	NTF2	locus_exact
YER012W	SGD	S000000814	PRE1	locus_exact
YER013W	SGD	S000000815	PRP22	locus_exact
YER018C	SGD	S000000820	SPC25	locus_exact
YER021W	SGD	S000000823	RPN3	locus_exact
YER022W	SGD	S000000824	SRB4	locus_exact
YER023W	SGD	S000000825	PRO3	locus_exact
YER025W	SGD	S000000827	GCD11	locus_exact
YER038C	SGD	S000000840	KRE29	locus_exact
YER048W-A	SGD	S000007237	ISD11	locus_exact
YER074W-A	SGD	S000007651	YOS1	locus_exact
YER082C	SGD	S000000884	UTP7	locus_exact
YER093C	SGD	S000000895	TSC11	locus_exact
YER094C	SGD	S000000896	PUP3	locus_exact
YER104W	SGD	S000000906	RTT105	locus_exact
YER112W	SGD	S000000914	LSM4	locus_exact
YER125W	SGD	S000000927	RSP5	locus_exact
YER126C	SGD	S000000928	NSA2	locus_exact
YER127W	SGD	S000000929	LCP5	locus_exact
YER133W	SGD	S000000935	GLC7	locus_exact
YER136W	SGD	S000000938	GDI1	locus_exact
YER147C	SGD	S000000949	SCC4	locus_exact
YER148W	SGD	S000000950	SPT15	locus_exact
YER165W	SGD	S000000967	PAB1	locus_exact
YER168C	SGD	S000000970	CCA1	locus_exact
YER172C	SGD	S000000974	BRR2	locus_exact
YFL002C	SGD	S000001894	SPB4	locus_exact
YFL005W	SGD	S000001889	SEC4	locus_exact
YFL008W	SGD	S000001886	SMC1	locus_exact
YFL009W	SGD	S000001885	CDC4	locus_exact
YFL017C	SGD	S000001877	GNA1	locus_exact
YFL017W-A	SGD	S000002965	SMX2	locus_exact
YFL022C	SGD	S000001872	FRS2	locus_exact
YFL024C	SGD	S000001870	EPL1	locus_exact
YFL029C	SGD	S000001865	CAK1	locus_exact
YFL034C-B	SGD	S000001859	MOB2	locus_exact
YFL037W	SGD	S000001857	TUB2	locus_exact
YFL039C	SGD	S000001855	ACT1	locus_exact
YFL045C	SGD	S000001849	SEC53	locus_exact
YFR002W	SGD	S000001898	NIC96	locus_exact
YFR003C	SGD	S000001899	YPI1	locus_exact
YFR004W	SGD	S000001900	RPN11	locus_exact
YFR005C	SGD	S000001901	SAD1	locus_exact
YFR027W	SGD	S000001923	ECO1	locus_exact
YFR028C	SGD	S000001924	CDC14	locus_exact
YFR031C	SGD	S000001927	SMC2	locus_exact
YFR037C	SGD	S000001933	RSC8	locus_exact
YFR042W	SGD	S000001938	KEG1	locus_exact
YFR050C	SGD	S000001946	PRE4	locus_exact
YFR052W	SGD	S000001948	RPN12	locus_exact
YGL001C	SGD	S000002969	ERG26	locus_exact
YGL008C	SGD	S000002976	PMA1	locus_exact
YGL011C	SGD	S000002979	SCL1	locus_exact
YGL018C	SGD	S000002986	JAC1	locus_exact
YGL022W	SGD	S000002990	STT3	locus_exact
YGL030W	SGD	S000002998	RPL30	locus_exact
YGL040C	SGD	S000003008	HEM2	locus_exact
YGL044C	SGD	S000003012	RNA15	locus_exact
YGL047W	SGD	S000003015	ALG13	locus_exact
YGL048C	SGD	S000003016	RPT6	locus_exact
YGL055W	SGD	S000003023	OLE1	locus_exact
YGL061C	SGD	S000003029	DUO1	locus_exact
YGL065C	SGD	S000003033	ALG2	locus_exact
YGL073W	SGD	S000003041	HSF1	locus_exact
YGL075C	SGD	S000003043	MPS2	locus_exact
YGL091C	SGD	S000003059	NBP35	locus_exact
YGL092W	SGD	S000003060	NUP145	locus_exact
YGL093W	SGD	S000003061	SPC105	locus_exact
YGL097W	SGD	S000003065	SRM1	locus_exact
