gene_id	source_ref_db	source_locus	source_gene	match_type
SPAC1834.06c.1:pep	PomBase	SPAC1834.06c	pmo25	locus_exact
SPAC1834.11c.1:pep	PomBase	SPAC1834.11c	sec18	locus_exact
SPAC1851.03.1:pep	PomBase	SPAC1851.03	ckb1	locus_exact
SPAC18B11.05.1:pep	PomBase	SPAC18B11.05	gpi18	locus_exact
SPAC18B11.06.1:pep	PomBase	SPAC18B11.06	lcp5	locus_exact
SPAC18B11.11.1:pep	PomBase	SPAC18B11.11	SPAC18B11.11	locus_exact
SPAC18G6.03.1:pep	PomBase	SPAC18G6.03	ypt3	locus_exact
SPAC18G6.06.1:pep	PomBase	SPAC18G6.06	utp11	locus_exact
SPAC18G6.07c.1:pep	PomBase	SPAC18G6.07c	mra1	locus_exact
SPAC18G6.11c.1:pep	PomBase	SPAC18G6.11c	rrn3	locus_exact
SPAC18G6.14c.1:pep	PomBase	SPAC18G6.14c	rps7	locus_exact
SPAC1952.01.1:pep	PomBase	SPAC1952.01	gab1	locus_exact
SPAC1952.11c.1:pep	PomBase	SPAC1952.11c	ure2	locus_exact
SPAC1952.13.1:pep	PomBase	SPAC1952.13	ned1	locus_exact
SPAC1952.14c.1:pep	PomBase	SPAC1952.14c	mrpl25	locus_exact
SPAC19A8.06.1:pep	PomBase	SPAC19A8.06	pbr1	locus_exact
SPAC19A8.07c.1:pep	PomBase	SPAC19A8.07c	imp4	locus_exact
SPAC19A8.09.1:pep	PomBase	SPAC19A8.09	yos1	locus_exact
SPAC19A8.12.1:pep	PomBase	SPAC19A8.12	dcp2	locus_exact
SPAC19A8.13.1:pep	PomBase	SPAC19A8.13	usp101	locus_exact
SPAC19A8.15.1:pep	PomBase	SPAC19A8.15	trp2	locus_exact
SPAC19B12.01.1:pep	PomBase	SPAC19B12.01	SPAC19B12.01	locus_exact
SPAC19B12.02c.1:pep	PomBase	SPAC19B12.02c	gas1	locus_exact
SPAC19B12.03.1:pep	PomBase	SPAC19B12.03	bgs3	locus_exact
SPAC19B12.05c.1:pep	PomBase	SPAC19B12.05c	fcp1	locus_exact
SPAC19D5.04.1:pep	PomBase	SPAC19D5.04	ptr1	locus_exact
SPAC19D5.05c.1:pep	PomBase	SPAC19D5.05c	imp3	locus_exact
SPAC19G12.01c.1:pep	PomBase	SPAC19G12.01c	cut20	locus_exact
SPAC19G12.07c.1:pep	PomBase	SPAC19G12.07c	rsd1	locus_exact
SPAC19G12.11.1:pep	PomBase	SPAC19G12.11	coq9	locus_exact
SPAC19G12.12.1:pep	PomBase	SPAC19G12.12	dlp1	locus_exact
SPAC19G12.14.1:pep	PomBase	SPAC19G12.14	its3	locus_exact
SPAC1A6.02.1:pep	PomBase	SPAC1A6.02	wdr55	locus_exact
SPAC1B1.01.1:pep	PomBase	SPAC1B1.01	deb1	locus_exact
SPAC1B1.03c.1:pep	PomBase	SPAC1B1.03c	kap95	locus_exact
SPAC1B2.05.1:pep	PomBase	SPAC1B2.05	mcm5	locus_exact
SPAC1B3.03c.1:pep	PomBase	SPAC1B3.03c	wis2	locus_exact
SPAC1B3.09c.1:pep	PomBase	SPAC1B3.09c	noc202	locus_exact
SPAC1B3.12c.1:pep	PomBase	SPAC1B3.12c	rpb10	locus_exact
SPAC1B3.13.1:pep	PomBase	SPAC1B3.13	nan1	locus_exact
SPAC1B3.14.1:pep	PomBase	SPAC1B3.14	vma3	locus_exact
SPAC1B3.16c.1:pep	PomBase	SPAC1B3.16c	vht1	locus_exact
SPAC1B3.18c.1:pep	PomBase	SPAC1B3.18c	mrps18	locus_exact
SPAC1B9.03c.1:pep	PomBase	SPAC1B9.03c	SPAC1B9.03c	locus_exact
SPAC1D4.04.1:pep	PomBase	SPAC1D4.04	cct2	locus_exact
SPAC1D4.08.1:pep	PomBase	SPAC1D4.08	pis1	locus_exact
SPAC1D4.10.1:pep	PomBase	SPAC1D4.10	trz1	locus_exact
SPAC1D4.12.1:pep	PomBase	SPAC1D4.12	rad15	locus_exact
SPAC1D4.14.1:pep	PomBase	SPAC1D4.14	tho2	locus_exact
SPAC1F12.08.1:pep	PomBase	SPAC1F12.08	cab4	locus_exact
SPAC1F12.09.1:pep	PomBase	SPAC1F12.09	gpi17	locus_exact
SPAC1F5.02.1:pep	PomBase	SPAC1F5.02	pdi1	locus_exact
SPAC1F5.04c.1:pep	PomBase	SPAC1F5.04c	cdc12	locus_exact
SPAC1F5.05c.1:pep	PomBase	SPAC1F5.05c	mso1	locus_exact
SPAC1F5.06.1:pep	PomBase	SPAC1F5.06	lsh1	locus_exact
SPAC1F5.11c.1:pep	PomBase	SPAC1F5.11c	tra2	locus_exact
SPAC1F7.02c.1:pep	PomBase	SPAC1F7.02c	has1	locus_exact
SPAC1F7.03.1:pep	PomBase	SPAC1F7.03	pkd2	locus_exact
SPAC1F7.04.1:pep	PomBase	SPAC1F7.04	rho1	locus_exact
SPAC1F7.05.1:pep	PomBase	SPAC1F7.05	cdc22	locus_exact
SPAC1F7.14c.1:pep	PomBase	SPAC1F7.14c	tam6	locus_exact
SPAC1F8.05.1:pep	PomBase	SPAC1F8.05	isp3	locus_exact
SPAC1F8.07c.1:pep	PomBase	SPAC1F8.07c	pdc101	locus_exact
SPAC20G4.06c.1:pep	PomBase	SPAC20G4.06c	adf1	locus_exact
SPAC20G8.01.1:pep	PomBase	SPAC20G8.01	cdc17	locus_exact
SPAC20G8.03.1:pep	PomBase	SPAC20G8.03	itr2	locus_exact
SPAC20G8.05c.1:pep	PomBase	SPAC20G8.05c	cdc15	locus_exact
SPAC20G8.06.1:pep	PomBase	SPAC20G8.06	not1	locus_exact
SPAC20G8.09c.1:pep	PomBase	SPAC20G8.09c	nat10	locus_exact
SPAC20H4.01.1:pep	PomBase	SPAC20H4.01	utp5	locus_exact
SPAC21E11.06.1:pep	PomBase	SPAC21E11.06	tif224	locus_exact
SPAC21E11.07.1:pep	PomBase	SPAC21E11.07	iba57	locus_exact
SPAC21E11.08.1:pep	PomBase	SPAC21E11.08	lcb2	locus_exact
SPAC222.03c.1:pep	PomBase	SPAC222.03c	tim10	locus_exact
SPAC222.04c.1:pep	PomBase	SPAC222.04c	ies6	locus_exact
SPAC222.06.1:pep	PomBase	SPAC222.06	mak16	locus_exact
SPAC222.09.1:pep	PomBase	SPAC222.09	seb1	locus_exact
SPAC222.10c.1:pep	PomBase	SPAC222.10c	byr4	locus_exact
SPAC222.11.1:pep	PomBase	SPAC222.11	hem13	locus_exact
SPAC227.02c.1:pep	PomBase	SPAC227.02c	rrp15	locus_exact
SPAC227.08c.1:pep	PomBase	SPAC227.08c	yth1	locus_exact
SPAC227.09.1:pep	PomBase	SPAC227.09	fol3	locus_exact
SPAC227.12.1:pep	PomBase	SPAC227.12	rna4	locus_exact
SPAC227.16c.1:pep	PomBase	SPAC227.16c	psf3	locus_exact
SPAC22A12.05.1:pep	PomBase	SPAC22A12.05	rpc11	locus_exact
SPAC22A12.08c.1:pep	PomBase	SPAC22A12.08c	crd1	locus_exact
SPAC22A12.09c.1:pep	PomBase	SPAC22A12.09c	sap114	locus_exact
SPAC22A12.12c.1:pep	PomBase	SPAC22A12.12c	rrp40	locus_exact
SPAC22A12.13.1:pep	PomBase	SPAC22A12.13	mug84	locus_exact
SPAC22A12.15c.1:pep	PomBase	SPAC22A12.15c	bip1	locus_exact
SPAC22E12.02.1:pep	PomBase	SPAC22E12.02	SPAC22E12.02	locus_exact
SPAC22E12.07.1:pep	PomBase	SPAC22E12.07	rna1	locus_exact
SPAC22E12.08.1:pep	PomBase	SPAC22E12.08	rrn10	locus_exact
SPAC22E12.09c.1:pep	PomBase	SPAC22E12.09c	krp1	locus_exact
