raw_string_protein_id	alias_count	matched_aliases	mapped_gene_id	mapping_status	mapping_method	evidence
4932.YLR253W	40	S000004243(SGD_ID); S000004243(UniProt_DR_SGD)	S000004243	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR254C	35	S000004244(SGD_ID); S000004244(UniProt_DR_SGD)	S000004244	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR255C	23			unmapped		Ensembl_STRING; KEGG_GENEID; UniProt_AC; Ensembl_protein_id; Ensembl_protein_id
4932.YLR256W	44			unmapped		Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_external_synonym_EntrezGene
4932.YLR257W	31	S000004247(SGD_ID); S000004247(UniProt_DR_SGD)	S000004247	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR258W	66	S000004248(SGD_ID); S000004248(UniProt_DR_SGD)	S000004248	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR259C	51	S000004249(SGD_ID); S000004249(UniProt_DR_SGD)	S000004249	mapped	alias_match	Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_protein_id
4932.YLR260W	41	S000004250(SGD_ID); S000004250(UniProt_DR_SGD)	S000004250	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID
4932.YLR261C	33			unmapped		Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; UniProt_AC
4932.YLR262C	40	S000004252(SGD_ID); S000004252(UniProt_DR_SGD)	S000004252	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR262C-A	34	S000007246(SGD_ID); S000007246(UniProt_DR_SGD)	S000007246	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; UniProt_AC
4932.YLR263W	38	S000004253(SGD_ID); S000004253(UniProt_DR_SGD)	S000004253	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR264C-A	31	S000028808(SGD_ID); S000028808(UniProt_DR_SGD)	S000028808	mapped	alias_match	Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_STRING; UniProt_AC
4932.YLR264W	56	S000004254(SGD_ID); S000004254(UniProt_DR_SGD)	S000004254	mapped	alias_match	UniProt_DE_RecName_Full; Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB; Ensembl_PDB
4932.YLR265C	55	S000004255(SGD_ID); S000004255(UniProt_DR_SGD)	S000004255	mapped	alias_match	UniProt_AC; Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR266C	35	S000004256(SGD_ID); S000004256(UniProt_DR_SGD)	S000004256	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR267W	36	S000004257(SGD_ID); S000004257(UniProt_DR_SGD)	S000004257	mapped	alias_match	Ensembl_STRING; Ensembl_EntrezGene; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id
4932.YLR268W	52	S000004258(SGD_ID); S000004258(UniProt_DR_SGD)	S000004258	mapped	alias_match	Ensembl_STRING; KEGG_GENEID; UniProt_DR_GeneID; Ensembl_protein_id; Ensembl_protein_id
4932.YLR269C	15			unmapped		Ensembl_STRING; Ensembl_protein_id; Ensembl_UniProt; UniProt_AC; UniProt_DE_RecName_Full
4932.YLR270W	46	S000004260(SGD_ID); S000004260(UniProt_DR_SGD)	S000004260	mapped	alias_match	KEGG_EC; UniProt_DE_RecName_EC; Ensembl_STRING; Ensembl_PDB; UniProt_DR_PDB
